NCM,DESCRICAO,ALIçQUOTA(%),,,,
1.01,"Cavalos, asininos e muares, vivos.",,,,,
101.2,- Cavalos:,,,,,
0101.21.00,Reprodutores de raa pura,NT,,,,
0101.29.00,Outros,NT,,,,
0101.30.00,Asininos,NT,,,,
0101.90.00,Outros,NT,,,,
1.02,Animais vivos da espcie bovina.,,,,,
102.2,- Bovinos domsticos:,,,,,
102.21,Reprodutores de raa pura,,,,,
0102.21.10,Prenhes ou com cria ao p,NT,,,,
0102.21.90,Outros,NT,,,,
102.29,Outros,,,,,
0102.29.1,Para reproduo,,,,,
0102.29.11,Prenhes ou com cria ao p,NT,,,,
0102.29.19,Outros,NT,,,,
0102.29.90,Outros,NT,,,,
102.3,- Bfalos:,,,,,
102.31,Reprodutores de raa pura,,,,,
0102.31.10,Prenhes ou com cria ao p,NT,,,,
0102.31.90,Outros,NT,,,,
102.39,Outros,,,,,
0102.39.1,Para reproduo,,,,,
0102.39.11,Prenhes ou com cria ao p,NT,,,,
0102.39.19,Outros,NT,,,,
0102.39.90,Outros,NT,,,,
0102.90.00, Outros,NT,,,,
1.03,Animais vivos da espcie su≠na.,,,,,
0103.10.00, Reprodutores de raa pura,NT,,,,
103.9,- Outros:,,,,,
0103.91.00,De peso inferior a 50 kg,NT,,,,
0103.92.00,De peso igual ou superior a 50 kg,NT,,,,
1.04,Animais vivos das espcies ovina e caprina.,,,,,
104.1, Ovinos,,,,,
0104.10.1,Reprodutores de raa pura,,,,,
0104.10.11,Prenhes ou com cria ao p,NT,,,,
0104.10.19,Outros,NT,,,,
0104.10.90,Outros,NT,,,,
104.2, Caprinos,,,,,
0104.20.10,Reprodutores de raa pura,NT,,,,
0104.20.90,Outros,NT,,,,
1.05,"Aves da espcie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola(pintadas), das espcies domsticas, vivos.",,,,,
105.1,- De peso no superior a 185 g:,,,,,
105.11,Aves da espcie Gallus domesticus,,,,,
0105.11.10,"De linhas puras ou h≠bridas, para reproduo",NT,,,,
0105.11.90,Outros,NT,,,,
0105.12.00,Peruas e perus,NT,,,,
0105.13.00,Patos,NT,,,,
0105.14.00,Gansos,NT,,,,
0105.15.00,Galinhas-d'angola (pintadas),NT,,,,
105.9,- Outros:,,,,,
0105.94.00,Aves da espcie Gallus domesticus,NT,,,,
0105.99.00,Outros,NT,,,,
1.06,Outros animais vivos.,,,,,
106.1,- Mam≠feros:,,,,,
0106.11.00,Primatas,NT,,,,
0106.12.00,"Baleias, golfinhos e botos (mam≠feros da ordem Cetacea); peixes-boi (manatins) edugongos (mam≠feros da ordem Sirenia); ot°rias e focas, leµes-marinhos e morsas(mam≠feros da subordem Pinnipedia)",NT,,,,
0106.13.00,Camelos e Outros camel≠deos (Camelidae),NT,,,,
0106.14.00,Coelhos e lebres,NT,,,,
0106.19.00,Outros,NT,,,,
0106.20.00, Rpteis (incluindo as serpentes e as tartarugas marinhas),NT,,,,
106.3,- Aves:,,,,,
0106.31.00,Aves de rapina,NT,,,,
0106.32.00,"Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)",NT,,,,
106.33,Avestruzes; emus (Dromaius novaehollandiae),,,,,
0106.33.10,"Avestruzes (Struthio camelus), para reproduo",NT,,,,
0106.33.90,Outros,NT,,,,
0106.39.00,Outras,NT,,,,
106.4,- Insetos:,,,,,
0106.41.00,Abelhas,NT,,,,
0106.49.00,Outros,NT,,,,
0106.90.00, Outros,NT,,,,
2.01,"Carnes de animais da espcie bovina, frescas ou refrigeradas.",,,,,
0201.10.00, Carcaas e meias-Carcaas,0,,,,
201.2, Outras peas no desossadas,,,,,
0201.20.10,Quartos dianteiros,0,,,,
0201.20.20,Quartos traseiros,0,,,,
0201.20.90,Outras,0,,,,
0201.30.00, desossadas,0,,,,
2.02,"Carnes de animais da espcie bovina, congeladas.",,,,,
0202.10.00, Carcaas e meias-Carcaas,0,,,,
202.2, Outras peas no desossadas,,,,,
0202.20.10,Quartos dianteiros,0,,,,
0202.20.20,Quartos traseiros,0,,,,
0202.20.90,Outras,0,,,,
0202.30.00, desossadas,0,,,,
2.03,"Carnes de animais da espcie su≠na, frescas, refrigeradas ou congeladas.",,,,,
203.1,- Frescas ou refrigeradas:,,,,,
0203.11.00,Carcaas e meias-Carcaas,0,,,,
