Tax_ID,VAT_Rate
0101210010,9%
0101210090,0
0101290010,9%
0101290090,9%
0101301010,9%
0101301090,0
0101309010,9%
0101309090,9%
0101900000,9%
0102210000,0
0102290000,9%
0102310010,9%
0102310090,0
0102390010,9%
0102390090,9%
0102901010,9%
0102901090,9%
0102909010,9%
0102909090,9%
0103100010,9%
0103100090,0
0103911010,9%
0103911090,9%
0103912010,9%
0103912090,9%
0103920010,9%
0103920090,9%
0104101000,0
0104109000,9%
0104201000,0
0104209000,9%
0105111000,0
0105119000,9%
0105121000,0
0105129000,9%
0105131000,0
0105139000,9%
0105141000,0
0105149000,9%
0105151000,0
0105159000,9%
0105941000,0
0105949000,9%
0105991000,0
0105999100,9%
0105999200,9%
0105999300,9%
0105999400,9%
0106111000,9%
0106119000,9%
0106121100,9%
0106121900,9%
0106122110,9%
0106122190,9%
0106122910,9%
0106122990,9%
0106131010,9%
0106131090,0
0106139010,9%
0106139090,9%
0106141010,9%
0106141090,0
0106149010,9%
0106149090,9%
0106191010,9%
0106191020,0
0106191090,9%
0106199010,9%
0106199090,9%
0106201100,9%
0106201910,9%
0106201990,9%
0106202011,9%
0106202019,9%
0106202021,9%
0106202029,9%
0106202091,9%
0106202099,9%
0106209010,9%
0106209090,9%
0106311000,9%
0106319000,9%
0106321010,9%
0106321090,9%
0106329010,9%
0106329090,9%
0106331010,9%
0106331090,0
0106339010,9%
0106339090,9%
0106391010,9%
0106391020,0
0106391090,9%
0106392100,9%
0106392310,9%
0106392390,9%
0106392910,9%
0106392990,9%
0106399010,9%
0106399090,9%
0106411000,0
0106419000,9%
0106491010,9%
0106491090,9%
0106499010,9%
0106499090,9%
0106901110,9%
0106901190,9%
0106901910,9%
0106901990,9%
0106909010,9%
0106909090,9%
0201100010,9%
0201100090,9%
0201200010,9%
0201200090,9%
0201300010,9%
0201300090,9%
0202100010,9%
0202100090,9%
0202200010,9%
0202200090,9%
0202300010,9%
0202300090,9%
0203111010,9%
0203111090,9%
0203119010,9%
0203119090,9%
0203120010,9%
0203120090,9%
0203190010,9%
0203190090,9%
0203211010,9%
0203211090,9%
0203219010,9%
0203219090,9%
0203220010,9%
0203220090,9%
0203290010,9%
0203290090,9%
0204100000,9%
0204210000,9%
0204220000,9%
0204230000,9%
0204300000,9%
0204410000,9%
0204420000,9%
0204430000,9%
0204500000,9%
0205000010,9%
0205000090,9%
0206100000,9%
0206210000,9%
0206220000,9%
0206290000,9%
0206300000,9%
0206410000,9%
0206490000,9%
0206800010,9%
0206800090,9%
0206900010,9%
0206900090,9%
0207110000,9%
0207120000,9%
0207131100,9%
0207131900,9%
0207132101,9%
0207132102,9%
0207132103,9%
0207132104,9%
0207132901,9%
0207132902,9%
0207132990,9%
0207141100,9%
0207141900,9%
0207142101,9%
0207142102,9%
0207142103,9%
0207142104,9%
0207142200,9%
0207142901,9%
0207142902,9%
0207142990,9%
0207240000,9%
0207250000,9%
0207260000,9%
0207270000,9%
0207410000,9%
0207420000,9%
0207430000,9%
0207440000,9%
0207450000,9%
0207510000,9%
0207520000,9%
0207530000,9%
0207540000,9%
0207550000,9%
0207600000,9%
0208101000,9%
0208102000,9%
0208109010,9%
0208109090,9%
0208300000,9%
0208400011,9%
0208400019,9%
0208400020,9%
0208500010,9%
0208500090,9%
0208600010,9%
0208600090,9%
0208901000,9%
0208909010,9%
0208909090,9%
0209100000,9%
0209900000,9%
0210111010,9%
0210111090,9%
0210119010,9%
0210119090,9%
0210120010,9%
0210120090,9%
0210190010,9%
0210190090,9%
0210200010,9%
0210200090,9%
0210910000,9%
0210920011,9%
0210920019,9%
0210920020,9%
0210930010,9%
0210930090,9%
0210990010,9%
0210990090,9%
0301110010,9%
0301110020,0
0301110090,9%
0301190010,9%
0301190020,0
0301190090,9%
0301911000,0
0301919000,9%
