HS_Code,VAT_Rate
0101210010,9.0%
0101210090,9.0%
0101290010,9.0%
0101290090,9.0%
0101301010,9.0%
0101301090,9.0%
0101309010,9.0%
0101309090,9.0%
0101900000,9.0%
0102210000,9.0%
0102290000,9.0%
0102310010,9.0%
0102310090,9.0%
0102390010,9.0%
0102390090,9.0%
0102901010,9.0%
0102901090,9.0%
0102909010,9.0%
0102909090,9.0%
0103100010,9.0%
0103100090,9.0%
0103911010,9.0%
0103911090,9.0%
0103912010,9.0%
0103912090,9.0%
0103920010,9.0%
0103920090,9.0%
0104101000,9.0%
0104109000,9.0%
0104201000,9.0%
0104209000,9.0%
0105111000,9.0%
0105119000,9.0%
0105121000,9.0%
0105129000,9.0%
0105131000,9.0%
0105139000,9.0%
0105141000,9.0%
0105149000,9.0%
0105151000,9.0%
0105159000,9.0%
0105941000,9.0%
0105949000,9.0%
0105991000,9.0%
0105999100,9.0%
0105999200,9.0%
0105999300,9.0%
0105999400,9.0%
0106111000,9.0%
0106119000,9.0%
0106121100,9.0%
0106121900,9.0%
0106122100,9.0%
0106122900,9.0%
0106131010,9.0%
0106131090,9.0%
0106139010,9.0%
0106139090,9.0%
0106141010,9.0%
0106141090,9.0%
0106149010,9.0%
0106149090,9.0%
0106191010,9.0%
0106191090,9.0%
0106199010,9.0%
0106199090,9.0%
0106201100,9.0%
0106201900,9.0%
0106202010,9.0%
0106202021,9.0%
0106202029,9.0%
0106202091,9.0%
0106202099,9.0%
0106209010,9.0%
0106209090,9.0%
0106311000,9.0%
0106319000,9.0%
0106321000,9.0%
0106329000,9.0%
0106331010,9.0%
0106331090,9.0%
0106339010,9.0%
0106339090,9.0%
0106391010,9.0%
0106391090,9.0%
0106392100,9.0%
0106392300,9.0%
0106392910,9.0%
0106392990,9.0%
0106399010,9.0%
0106399090,9.0%
0106411000,9.0%
0106419001,9.0%
0106419090,9.0%
0106491010,9.0%
0106491090,9.0%
0106499001,9.0%
0106499010,9.0%
0106499090,9.0%
0106901110,9.0%
0106901190,9.0%
0106901910,9.0%
0106901990,9.0%
0106909010,9.0%
0106909090,9.0%
0201100010,9.0%
0201100090,9.0%
0201200010,9.0%
0201200090,9.0%
0201300010,9.0%
0201300090,9.0%
0202100010,9.0%
0202100090,9.0%
0202200010,9.0%
0202200090,9.0%
0202300010,9.0%
0202300090,9.0%
0203111010,9.0%
0203111090,9.0%
0203119010,9.0%
0203119090,9.0%
0203120010,9.0%
0203120090,9.0%
0203190010,9.0%
0203190090,9.0%
0203211010,9.0%
0203211090,9.0%
0203219010,9.0%
0203219090,9.0%
0203220010,9.0%
0203220090,9.0%
0203290010,9.0%
0203290090,9.0%
0204100000,9.0%
0204210000,9.0%
0204220000,9.0%
0204230000,9.0%
0204300000,9.0%
0204410000,9.0%
0204420000,9.0%
0204430000,9.0%
0204500000,9.0%
0205000010,9.0%
0205000090,9.0%
0206100000,9.0%
0206210000,9.0%
0206220000,9.0%
0206290000,9.0%
0206300000,9.0%
0206410000,9.0%
0206490000,9.0%
0206800010,9.0%
