HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
"""01.01""",,,,,,
"""0101.2100""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RJP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0101.2900""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0101.3010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RJP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0101.3090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,"IS,KR, RAU,  GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0101.9000""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU , NZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"RKR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""01.02""",,,,,,
"""0102.2100""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0102.2900""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",30
,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,"RAU , NZ ,KH,EC,MV,",,"LA,",
,,,"HK,MO",,MM,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""0102.3100""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0102.3900""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",30
,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,"RAU , NZ ,KH,EC,MV,",,"LA,",
,,,"HK,MO",,MM,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""0102.9010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0102.9090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",30
,,,"IS, RKR,AU,GE,MU, AS ,",,"KH,",
,,,"RAU ,RNZ ,KH,MV,HK,",,"LA,",
,,,MO,,MM,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,RJP,,,
,,8,NI,,,
,,9,EC,,,
"""01.03""",,,,,,
"""0103.1000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RJP ,RKR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0103.9110""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"IS,KR,AU,GE,MU,RAS ,",,"KH,",
,,,"RAU R , NZ ,KH,MV,HK,",,MM,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0103.9120""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"IS,KR, RAU,GE,MU, AS ,",,"KH,",
,,,"RAU ,RNZ ,KH,MV,HK,",,MM,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0103.9200""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"RIS,KR,AU,GE,MU, AS ,",,"KH,",
,,,"RAU R , NZ ,KH,MV,HK,",,"LA,",
,,,MO,,MM,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""01.04""",,,,,,
"""0104.1010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0104.1090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,EC,MV,",,,
,,,"HK,MO",,,
,,5,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""0104.2010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0104.2090""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,"RIS,  KR,AU,GE,MU, AS ,",,,
,,,"RAU , NZ ,KH,EC,MV,",,,
,,,"HK,MO",,,
,,5,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
"""01.05""",,,,,,
"""0105.1110""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""0105.1190""",10,0,"AS,CL,NZ,PE,CR,CH,",0,"LD,",50
,,,"IS,KR, RAU,GE,MU, AS ,",,"LA,",
,,,"RAU R , NZ ,KH,MV,HK,",,MM,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""0105.1210""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
