"Chapter","Page","Item","Description","Unit","Custom Fee","VAT","Product Type","Agreement details"
"1","1","""0101210000""","Horses, Purebred Breeding, Live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","1","""0101290000""","Horses, Live, Except Purebred Breeding","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","1","""0101300000""","Asses, Live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees"
"1","1","""0101900000""","Mules And Hinnies, Live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","1","""0102210000""","Cattle, pure-bred breeding","Numrical","0%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","1","""0102290000""","Cattle, Live, Other Than Purebred Breeding Animals","Numrical","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","1","""0102310000""","Pure-bred breeding animals","Numrical","0%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees"
"1","1","""0102390000""","Buffalo, Live, Others","Numrical","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees"
"1","1","""0102900000""","Bovine Animals, Live, Others","Numrical","0%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","1","""0103100000""","Swine, Purebred Breeding, Live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0103910000""","Swine, Weighing Less Than 50 Kg Each, Live, Except Purebred Breeding","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0103920000""","Swine, Weighing 50 Kg Or More Each, Live, Others","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0104100010""","Pure - bred breeding live sheep animal","Numrical","0%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0104100090""","Sheep, live, o/t pure-bred breeding","Numrical","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0104200000""","Goats, live","Numrical","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0105110000""","Fowls, live domestic weighing not more than 185 g","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0105120000""","Turkeys, live, weighing not more than 185 g","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0105130000""","Ducks, domestic, live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0105140000""","Geese, Live, Weighing Not More Than 185 G","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","2","""0105150000""","Guinea fowls, domestic, live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0105940010""","Fowls, Gallus domesticus, live, domestic, weighing > 185 g,for raising","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"1","3","""0105940090""","-- Fowls of the species Gallus domesticus - weighing > 185 g","Numrical","5%","N/A","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"1","3","""0105990010""","Geese, live, weighing more than 185 g,for raising","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0105990090""","Geese, live, weighing more than 185 g,for not  raising","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
