Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
6.01,,,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant,",,
,,,in growth or in flower; chicory plants and roots other than roots of,,
,,,heading 12.12:,,
0601.10.00,,,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",Free,Free
,01K,kg,Calla lillies,,
,11G,kg,Paeony tubers or roots,,
,13C,kg,Sandersonia,,
,15K,kg,Lilium,,
,17F,kg,Tulip,,
,29K,.,Other,,
0601.20.00,,,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or",,
,,,in flower; chicory plants and roots,Free,Free
,01C,kg,Chicory plants and roots,,
,09J,.,Other,,
6.02,,,"Other live plants (including their roots), cuttings and slips;",,
,,,mushroom spawn:,,
0602.10.00,00K,.,Unrooted cuttings and slips,Free,Free
0602.20.00,00C,.,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit",,
,,,or nuts,Free,Free
0602.30.00,00G,.,"Rhododendrons and azaleas, grafted or not",Free,Free
0602.40.00,00L,.,"Roses, grafted or not",Free,Free
0602.90.00,,,Other,Free,Free
,01G,.,Mushroom spawn,,
,,,Other:,,
,11D,.,"Indigenous trees, plants",,
,19K,.,Kiwifruit stock,,
,21A,.,Other fruit stock,,
,29G,.,Other,,
6.03,,,Cut flowers and flower buds of a kind suitable for bouquets or for,,
,,,"ornamental purposes, fresh, dried, dyed, bleached, impregnated or",,
,,,otherwise prepared:,,
,,,Fresh:,,
0603.11.00,00B,No.,Roses,Free,Free
0603.12.00,00G,No.,Carnations,Free,Free
0603.13.00,00A,No.,Orchids,Free,Free
0603.14.00,00F,No.,Chrysanthemums,Free,Free
0603.15.00,00L,No.,Lilies (Lilium spp.),Free,Free
0603.19.00,,,Other,Free,Free
,21A,No.,Proteaceae (including all proteas and leucadendrons),,
,24F,No.,Alstroemeria,,
,27L,No.,Gypsohila,,
,30L,No.,Spring bulbs,,
,33E,No.,Zantedeschia (Calla Lily),,
,36K,No.,Gentiana,,
,39D,No.,Nerines,,
,42D,No.,Sandersonia,,
,48C,No.,Paeonies,,
,51C,No.,Delphiniums,,
,54H,No.,Larkspur,,
,57B,No.,Lilacs,,
,60B,No.,Erygnium planum,,
,63G,No.,Hydrangea,,
,66A,No.,Tulip,,
,69F,No.,Viburnum,,
,72F,No.,Phormium,,
,75L,No.,Pittosporum,,
,78E,No.,Other,,
603.9,,,Other:,,
0603.90.01,,,Dried or bleached,Free,Free
,01A,No.,Paeonies,,
,09G,.,Other,,
0603.90.09,00D,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC Free
6.04,,,"Foliage, branches and other parts of plants, without flowers or flower",,
,,,"buds, and grasses, mosses and lichens, being goods of a kind suitable",,
,,,"for bouquets or for ornamental purposes, fresh, dried, dyed, bleached,",,
,,,impregnated or otherwise prepared:,,
0604.20.00,,,Fresh,Free,Free
,10G,kg,Sphagnum moss,,
,15H,.,Proteaceae (including all proteas and leucadendrons),,
,19L,.,Other,,
604.9,,,Other:,,
0604.90.10,,,Dried or bleached,Free,Free
,10H,kg,Sphagnum moss,,
,15J,.,Proteaceae (including all proteas and leucadendrons),,
,19A,.,Other,,
0604.90.90,00D,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC Free
7.01,,,"Potatoes, fresh or chilled:",,
0701.10.00,00H,kg,Seed,Free,Free
0701.90.00,00G,kg,Other,Free,Free
7.02,,,,,
0702.00.00,00B,kg,"Tomatoes, fresh or chilled",Free,Free
