Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,
16.01,,,,,,
1601.00.00,,,"Sausages and similar products, of meat, meat offal, blood or insects;",,,
,,,food preparations based on these products:,Free,Free,
,,,With a base of the following kinds of poultry:,,,
,01A,kg,Chicken,,,
,09G,kg,Turkey,,,
,11J,kg,Duck,,,
,19D,kg,Other,,,
,30E,kg,Other,,,
16.02,,,"Other prepared or preserved meat, meat offal, blood or insects:",,,
1602.1,,,Homogenised preparations:,,,
,,,Preserved in airtight cans or jars:,,,
1602.10.01,10J,kg,In combination with vegetables or other food substances; meat pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1602.10.09,,,Other,Free,Free,
,01L,kg,Corned beef,,,
,09F,kg,"Tongues, sheep and lamb",,,
,11H,kg,"Tongues, other kinds",,,
,19C,kg,Mutton,,,
,30D,kg,Insects,,,
,40A,kg,Other,,,
1602.10.19,10E,kg,Otherwise packed,Free,Free,
1602.2,,,Of liver of any animal:,,,
1602.20.01,00E,kg,Pats de foie gras,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1602.20.09,00F,kg,Other,Free,Free,
,,,Of poultry of heading 01.05:,,,
1602.31.00,00G,kg,Of turkeys,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1602.32,,,Of fowls of the species Gallus domesticus:,,,
,,,Preserved in airtight containers or jars:,,,
1602.32.10,00G,kg,In combination with vegetables or other food substances;,,,
,,,meat pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1602.32.20,00B,kg,Other,Free,Free,
1602.32.90,,,Otherwise packed,Free,Free,
,01J,kg,Chicken,,,
,09D,kg,Other,,,
1602.39,,,Other:,,,
,,,Preserved in airtight cans or jars:,,,
1602.39.01,00K,kg,In combination with vegetables or other food substances;,,,
,,,meat pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1602.39.09,00L,kg,Other,Free,Free,
1602.39.19,,,Otherwise packed,Free,Free,
,01D,kg,Chicken,,,
,09K,kg,Duck,,,
,19G,kg,Other,,,
,,,,"Other prepared or preserved meat, meat offal, blood, etc.continued",,
,,,,Of swine:,,
,1602.41,,,Hams and cuts thereof:,,
,,,,Preserved in airtight cans or jars:,,
,1602.41.01,00G,kg,In combination with vegetables or other food substances,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,1602.41.09,00H,kg,Other,Free,Free
,1602.41.19,00C,kg,Otherwise packed,Free,Free
,1602.42,,,Shoulders and cuts thereof:,,
,,,,Preserved in airtight cans or jars:,,
,1602.42.01,00A,kg,In combination with vegetables or other food substances,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,1602.42.09,00B,kg,Other,Free,Free
,1602.42.19,00H,kg,Otherwise packed,Free,Free
,1602.49,,,"Other, including mixtures:",,
,,,,Preserved in airtight cans or jars:,,
,1602.49.01,00C,kg,In combination with vegetables or other food substances;,,
,,,,meat pastes,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 3.5
