Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
44.01,,,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms;",,
,,,"wood in chips or particles; sawdust and wood waste and scrap,",,
,,,"whether or not agglomerated in logs, briquettes, pellets or similar",,
,,,forms:,,
,,,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms:",,
4401.11.00,00E,.,Coniferous,Free,Free
4401.12.00,00K,.,Non-coniferous,Free,Free
,,,Wood in chips or particles:,,
4401.21.00,,,Coniferous,Free,Free
,01G,,,,
,,,,,
,,,,,
,09B,,,,
,,,,,
,,,,,
4401.22.00,,,Non-coniferous,Free,Free
,01A,,,,
,,,,,
,,,,,
,09G,,,,
,,,,,
,,,,,
,,,"Sawdust and wood waste and scrap, agglomerated in logs, briquettes,",,
,,,pellets or similar forms:,,
4401.31.00,00B,.,Wood pellets,Free,Free
4401.32.00,00G,.,Wood briquettes,Free,Free
4401.39.00,12B,.,Other,Free,Free
,,,"Sawdust and wood waste and scrap, not agglomerated:",,
4401.41.00,00F,.,Sawdust,Free,Free
4401.49.00,00B,.,Other,Free,Free
44.02,,,"Wood charcoal (including shell or nut charcoal), whether or not",,
,,,agglomerated:,,
4402.10.00,00J,kg,Of bamboo,Free,Free
4402.20.00,00B,kg,Of shell or nut,Free,Free
4402.90.00,10E,kg,Other,Free,Free
44.03,,,"Wood in the rough, whether or not stripped of bark or sapwood, or",,
,,,roughly squared:,,
,,,"Treated with paint, stains, creosote or other preservatives:",,
4403.11.00,,,Coniferous,Free,Free
,,,Saw logs and veneer logs:,,
,10J,m3,Pinus radiata,,
,15K,m3,Other,,
,,,Other:,,
,17F,m3,Pinus radiata,,
,19B,m3,Other,,
4403.12.00,,,Non-coniferous,Free,Free
,10C,m3,Saw logs and veneer logs,,
,19G,m3,Other,,
,,,"Other, coniferous:",,
4403.21.00,,," Of pine (Pinus spp.), of which the smallest cross-sectional dimension",,
,,,is 15 cm or more,Free,Free
,,,Saw logs and veneer logs:,,
,12J,m3,Pinus radiata,,
,16A,m3,Other,,
,,,Other:,,
,20K,m3,Pulpwood,,
,22F,m3,Other,,
4403.22.00,,,"Of pine (Pinus spp.), other",Free,Free
,,,Saw logs and veneer logs:,,
,12C,m3,Pinus radiata,,
,16F,m3,Other,,
,,,Other:,,
,20D,m3,Pulpwood,,
,22L,m3,Other,,
,,,"Wood in the rough, whether or not stripped of bark, etc.continued",,
,,,"Other, coniferouscontinued",,
4403.23.00,,,"Of fir (Abies spp.) and spruce (Picea spp.), of which the smallest",,
,,,cross-sectional dimension is 15 cm or more,Free,Free
,12H,m3,Saw logs and veneer logs,,
