Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
25.01,,,,,
2501.00.00,,,Salt (including table salt and denatured salt) and pure sodium,,
,,,"chloride, whether or not in aqueous solution or containing added",,
,,,anti-caking or free-flowing agents; sea water,Free,Free
,,,Rock salt:,,
,01L,kg,"Crude, in lumps",,
,09F,kg,Other,,
,,,Other salt:,,
,11H,kg,Sheep and cattle licks,,
,,,Other:,,
,,,Evaporated:,,
,21E,kg,Iodised,,
,,,Not iodised:,,
,31B,kg,"Refined salt, in packs 4.5 kg or less",,
,39H,kg,Other,,
,,,Other:,,
,41K,kg,Iodised,,
,,,Not iodised:,,
,51G,kg,"Refined salt, in packs 4.5 kg or less",,
,59B,kg,Other,,
,,,Other:,,
,61D,kg,Pure sodium chloride,,
,69K,kg,Other,,
25.02,,,,,
2502.00.00,00L,kg,Unroasted iron pyrites,Free,Free
25.03,,,,,
2503.00.00,,,"Sulphur of all kinds, other than sublimed sulphur, precipitated",,
,,,sulphur and colloidal sulphur,Free,Free
,01G,kg,Crude or unrefined sulphur,,
,09B,kg,Other,,
25.04,,,Natural graphite:,,
2504.10.00,00L,kg,In powder or in flakes,Free,Free
2504.90.00,00K,kg,Other,Free,Free
25.05,,,"Natural sands of all kinds, whether or not coloured, other than",,
,,,metal-bearing sands of Chapter 26:,,
2505.10.00,00J,kg,Silica sands and quartz sands,Free,Free
2505.90.00,00H,kg,Other,Free,Free
25.06,,,"Quartz (other than natural sands); quartzite, whether or not roughly",,
,,,"trimmed or merely cut, by sawing or otherwise, into blocks or slabs of",,
,,,a rectangular (including square) shape:,,
2506.10.00,00G,kg,Quartz,Free,Free
2506.20.00,,,Quartzite,Free,Free
,10H,kg,Crude or roughly trimmed,,
,14L,kg,Other,,
25.07,,,,,
2507.00.00,00A,kg,"Kaolin and other kaolinic clays, whether or not calcined",Free,Free
25.08,,,"Other clays (not including expanded clays of heading 68.06),",,
,,,"andalusite, kyanite and sillimanite, whether or not calcined; mullite;",,
,,,chamotte or dinas earths:,,
2508.10.00,00C,kg,Bentonite,Free,Free
2508.30.00,00L,kg,Fire-clay,Free,Free
2508.40.00,,,Other clays,Free,Free
,10A,kg,Decolourising earths and fuller۪s earth,,
,14D,kg,Other,,
2508.50.00,00H,kg,"Andalusite, kyanite and sillimanite",Free,Free
2508.60.00,00A,kg,Mullite,Free,Free
2508.70.00,00E,kg,Chamotte or dinas earths,Free,Free
25.09,,,,,
2509.00.00,00H,kg,Chalk,Free,Free
25.1,,,"Natural calcium phosphates, natural aluminium calcium phosphates",,
,,,and phosphatic chalk:,,
2510.10.00,00E,kg,Unground,Free,Free
2510.20.00,00J,kg,Ground,Free,Free
25.11,,,Natural barium sulphate (barytes); natural barium carbonate,,
