Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,I.-CHEMICAL ELEMENTS,,
28.01,,,"Fluorine, chlorine, bromine and iodine:",,
2801.10.00,00E,kg,Chlorine,Free,Free
2801.20.00,00J,kg,Iodine,Free,Free
2801.30.00,00B,kg,Fluorine; bromine,Free,Free
28.02,,,,,
2802.00.00,00K,kg,"Sulphur, sublimed or precipitated; colloidal sulphur",Free,Free
28.03,,,,,
2803.00.00,00H,kg,Carbon (carbon blacks and other forms of carbon not elsewhere,,
,,,specified or included),Free,Free
28.04,,,"Hydrogen, rare gases and other non-metals:",,
2804.10.00,00K,kg,Hydrogen,Free,Free
,,,Rare gases:,,
2804.21.00,00H,kg,Argon,Free,Free
2804.29.00,00D,kg,Other,Free,Free
2804.30.00,00G,kg,Nitrogen,Free,Free
2804.40.00,00L,kg,Oxygen,Free,Free
2804.50.00,00D,kg,Boron; tellurium,Free,Free
,,,Silicon:,,
2804.61.00,00B,kg,Containing by weight not less than 99.99% of silicon,Free,Free
2804.69.00,00J,kg,Other,Free,Free
2804.70.00,,,Phosphorus,Free,Free
,01K,kg,Red,,
,03F,.,Other,,
2804.80.00,00E,kg,Arsenic,Free,Free
2804.90.00,00J,kg,Selenium,Free,Free
28.05,,,"Alkali or alkaline-earth metals; rare-earth metals, scandium and",,
,,,"yttrium, whether or not intermixed or interalloyed; mercury:",,
,,,Alkali or alkaline-earth metals:,,
2805.11.00,00B,.,Sodium,Free,Free
2805.12.00,00G,.,Calcium,Free,Free
2805.19.00,,,Other,Free,Free
,11D,.,Strontium and barium,,
,19K,.,Other,,
2805.30.00,00E,.,"Rare-earth metals, scandium and yttrium, whether or not",,
,,,intermixed or interalloyed,Free,Free
2805.40.00,00J,.,Mercury,Free,Free
,,,II.-INORGANIC ACIDS AND INORGANIC OXYGEN,,
,,,COMPOUNDS OF NON-METALS,,
28.06,,,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid:,,
2806.10.00,10C,kg,Hydrogen chloride (hydrochloric acid),Free,Free
2806.20.00,00K,kg,Chlorosulphuric acid,Free,Free
28.07,,,,,
2807.00.00,00L,kg,Sulphuric acid; oleum,Free,Free
28.08,,,,,
2808.00.00,00J,kg,Nitric acid; sulphonitric acids,Free,Free
28.09,,,"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids,",,
,,,whether or not chemically defined:,,
2809.10.00,00L,kg,Diphosphorus pentaoxide,Free,Free
2809.20.00,00D,kg,Phosphoric acid and polyphosphoric acids,Free,Free
28.1,,,,,
2810.00.00,00L,kg,Oxides of boron; boric acids,Free,Free
28.11,,,Other inorganic acids and other inorganic oxygen compounds of,,
,,,non-metals:,,
,,,Other inorganic acids:,,
2811.11.00,00G,kg,Hydrogen fluoride (hydrofluoric acid),Free,Free
2811.12.00,10J,kg,Hydrogen cyanide (hydrocyanic acid),Free,Free
2811.19.00,,,Other,Free,Free
,01A,kg,Acids of arsenic,,
,03H,kg,Acids of iodine,,
,05D,kg,Acids of phosphorous,,
,19D,kg,Other,,
,,,Other inorganic oxygen compounds of non-metals:,,
2811.21.00,00L,kg,Carbon dioxide,Free,Free
2811.22.00,00E,kg,Silicon dioxide,Free,Free
2811.29.00,,,Other,Free,Free
,01E,kg,"Arsenic trioxide, arsenic pentaoxide",,
,11B,kg,Nitrous oxide,,
,15E,kg,Sulphur dioxide,,
,19H,kg,Other,,
,,,III.-HALOGEN OR SULPHUR COMPOUNDS OF NON-METALS,,
28.12,,,Halides and halide oxides of non-metals:,,
,,,Chlorides and chloride oxides:,,
2812.11.00,10B,kg,Carbonyl dichloride (phosgene),Free,Free
2812.12.00,10G,kg,Phosphorus oxychloride,Free,Free
2812.13.00,10A,kg,Phosphorus trichloride,Free,Free
2812.14.00,10F,kg,Phosphorus pentachloride,Free,Free
2812.15.00,10L,kg,Sulphur monochloride,Free,Free
2812.16.00,10E,kg,Sulphur dichloride,Free,Free
2812.17.00,10K,kg,Thionyl chloride,Free,Free
2812.19.00,,,Other,Free,Free
,10J,kg,Arsenic trichloride,,
,19B,kg,Other,,
2812.90.00,00K,kg,Other,Free,Free
28.13,,,Sulphides of non-metals; commercial phosphorus trisulphide:,,
2813.10.00,00J,kg,Carbon disulphide,Free,Free
2813.90.00,00H,kg,Other,Free,Free
,,,"IV.-INORGANIC BASES AND OXIDES, HYDROXIDES AND",,
,,,PEROXIDES OF METALS,,
28.14,,,"Ammonia, anhydrous or in aqueous solution:",,
2814.10.00,00G,kg,Anhydrous ammonia,Free,Free
2814.20.00,00L,kg,Ammonia in aqueous solution,Free,Free
28.15,,,Sodium hydroxide (caustic soda); potassium hydroxide (caustic,,
,,,potash); peroxides of sodium or potassium:,,
,,,Sodium hydroxide (caustic soda):,,
2815.11.00,00K,kg,Solid,Free,Free
2815.12.00,00D,kg,In aqueous solution (soda lye or liquid soda),Free,Free
2815.20.00,00J,kg,Potassium hydroxide (caustic potash),Free,Free
2815.30.00,00B,kg,Peroxides of sodium or potassium,Free,Free
28.16,,,"Hydroxide and peroxide of magnesium; oxides, hydroxides and",,
,,,"peroxides, of strontium or barium:",,
2816.10.00,00C,kg,Hydroxide and peroxide of magnesium,Free,Free
2816.40.00,,,"Oxides, hydroxides and peroxides, of strontium or barium",Free,Free
,11K,kg,Of strontium,,
,19E,kg,Of barium,,
28.17,,,,,
2817.00.00,,,Zinc oxide; zinc peroxide,Free,Free
,01F,kg,Zinc oxide,,
,09A,kg,Zinc peroxide,,
