Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,I.- PRIMARY FORMS,,
39.01,,,"Polymers of ethylene, in primary forms:",,
3901.10.00,,,Polyethylene having a specific gravity of less than 0.94,Free,Free
,01E,kg,"Ground polyethylene, rotational moulding grade",,
,05H,kg,Other linear low density polyethylene (LLDPE),,
,10D,kg,Other,,
3901.20.00,,,Polyethylene having a specific gravity of 0.94 or more,Free,Free
,01J,kg,"Ground polyethylene, rotational moulding grade",,
,09D,kg,Other,,
3901.3,,,Ethylene-vinyl acetate copolymers:,,
3901.30.01,00L,kg,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,5,Free
,,,,,*See Below
,,,,,LDC 4
3901.30.09,00A,kg,Other,Free,Free
3901.40.00,00H,kg," Ethylene-alpha-olefin copolymers, having a specific gravity of",,
,,,less than 0.94,Free,Free
3901.90.00,10C,kg,Other,Free,Free
39.02,,,"Polymers of propylene or of other olefins, in primary forms:",,
3902.10.00,00E,kg,Polypropylene,Free,Free
3902.20.00,00J,kg,Polyisobutylene,Free,Free
3902.30.00,00B,kg,Propylene copolymers,Free,Free
3902.90.00,00D,kg,Other,Free,Free
39.03,,,"Polymers of styrene, in primary forms:",,
,,,Polystyrene:,,
3903.11.00,00H,kg,Expansible,Free,Free
3903.19.00,00D,kg,Other,Free,Free
3903.20.00,00G,kg,Styrene-acrylonitrile (SAN) copolymers,Free,Free
3903.30.00,,,Acrylonitrile-butadiene-styrene (ABS) copolymers,Free,Free
,01J,kg,Acrylonitrile-butadiene-styrene (ABS) copolymers not mixed with any,,
,,,other substance,,
,09D,kg,Other,,
3903.9,,,Other:,,
3903.90.01,,,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,5,Free
,,,,,*See Below
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
,01G,kg,Styrene copolymers,,
,09B,kg,Other,,
3903.90.09,,,Other,Free,Free
,01H,kg,Styrene copolymers,,
,09C,kg,Other,,
39.04,,,"Polymers of vinyl chloride or of other halogenated olefins, in primary",,
,,,forms:,,
3904.10.00,00A,kg,"Poly(vinyl chloride), not mixed with any other substances",Free,Free
,,,Other poly(vinyl chloride):,,
3904.21.00,00K,kg,Non-plasticised,5,Free
,,,,,*See Below
,,,,,LDC 4
3904.22.00,00D,kg,Plasticised,5,Free
,,,,,*See Below
,,,,,LDC 4
,,,,,RCEP 3.5
,,,,,1/2025 3
3904.30.00,,,Vinyl chloride-vinyl acetate copolymers,Free,Free
,01G,kg,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,,
,09B,kg,Other,,
3904.40.00,,,Other vinyl chloride copolymers,Free,Free
,01L,kg,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,,
,09F,kg,Other,,
,,,"Polymers of vinyl chloride or of other halogenated, etc.continued",,
3904.50.00,,,Vinylidene chloride polymers,Free,Free
,01D,kg,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,,
,09K,kg,Other,,
,,,Fluoro-polymers:,,
3904.61.00,00D,kg,Polytetrafluoroethylene,Free,Free
3904.69.00,00L,kg,Other,Free,Free
3904.90.00,00L,kg,Other,Free,Free
39.05,,,"Polymers of vinyl acetate or of other vinyl esters, in primary forms;",,
,,,other vinyl polymers in primary forms:,,
,,,Poly(vinyl acetate):,,
3905.12.00,00J,kg,In aqueous dispersion,5,Free
,,,,,*See Below
,,,,,LDC 4
3905.19.00,01J,kg,Other,Free,Free
,,,Vinyl acetate copolymers:,,
3905.21.00,00H,kg,In aqueous dispersion,5,Free
,,,,,*See Below
,,,,,LDC 4
3905.29.00,00D,kg,Other,Free,Free
3905.30.00,00G,kg,"Poly(vinyl alcohol), whether or not containing unhydrolysed acetate",,
,,,groups,Free,Free
,,,Other:,,
3905.91.00,00C,kg,Copolymers,Free,Free
3905.99.00,00K,kg,Other,Free,Free
39.06,,,Acrylic polymers in primary forms:,,
3906.1,,,Poly(methyl methacrylate):,,
3906.10.01,00D,kg,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,5,Free
,,,,,*See Below
,,,,,LDC 4
3906.10.09,00E,kg,Other,Free,Free
3906.9,,,Other:,,
3906.90.01,,,"Liquids and pastes, including dispersions (emulsions and suspensions)",,
,,,and solutions,5,Free
