Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
41.01,,,Raw hides and skins of bovine (including buffalo) or equine animals,,
,,,"(fresh, or salted, dried, limed, pickled or otherwise preserved, but not",,
,,,"tanned, parchment-dressed or further prepared), whether or not",,
,,,dehaired or split:,,
4101.20.00,,,"Whole hides and skins, unsplit, of a weight per skin not exceeding 8 kg",,
,,,"when simply dried, 10 kg when dry-salted, or 16 kg when fresh,",,
,,,wet-salted or otherwise preserved,Free,Free
,,,Calf skins:,,
,11L,No.,Buffalo,,
,,,Other:,,
,13G,No.,Freezer dry-salted,,
,15C,No.,Freezer wet-salted,,
,17K,No.,Other,,
,29C,No.,Other,,
4101.50.00,,,"Whole hides and skins, of a weight exceeding 16 kg",Free,Free
,,,"Bull, ox and cow:",,
,,,Wet-salted:,,
,11A,No.,"Freezer ox hides, not exceeding 20 kg",,
,12K,No.,"Freezer ox hides, exceeding 20 kg",,
,15D,No.,"Freezer cow hides, not exceeding 18 kg",,
,16B,No.,"Freezer cow hides, exceeding 18 kg",,
,18J,No.,Freezer bull hides,,
,19G,No.,Other,,
,21J,No.,Other,,
,,,Other:,,
,31F,No.,Buffalo,,
,39A,No.,Other,,
4101.90.00,,,"Other, including butts, bends and bellies",Free,Free
,,,"Hides and skins of bovine animals, otherwise preserved:",,
,11F,No.,Calf,,
,19A,No.,Other,,
,,,Hides and skins of equine animals:,,
,21C,No.,Hides,,
,29J,No.,Other,,
,,,Butts and bends:,,
,31L,No.,Calf,,
,39F,No.,Other,,
,,,Other:,,
,41H,No.,Calf,,
,59L,No.,Other,,
41.02,,,"Raw skins of sheep or lambs (fresh, or salted, dried, limed, pickled or",,
,,,"otherwise preserved, but not tanned, parchment-dressed or further",,
,,,"prepared), whether or not with wool on or split, other than those",,
,,,excluded by Note 1 (c) to this Chapter:,,
4102.10.00,,,With wool on,Free,Free
,01H,No.,Slink skins,,
,09C,No.,Lamb skins,,
,19L,No.,Sheep skins,,
,,,Without wool on:,,
4102.21.00,,,Pickled,Free,Free
,01F,No.,Lamb pelts,,
,09A,No.,Sheep pelts,,
,19J,kg,Other,,
4102.29.00,,,Other,Free,Free
,01B,No.,Lamb pelts,,
,09H,No.,Sheep pelts,,
,19E,kg,Other,,
41.03,,,"Other raw hides and skins (fresh, or salted, dried, limed, pickled or",,
,,,"otherwise preserved, but not tanned, parchment-dressed or further",,
,,,"prepared), whether or not dehaired or split, other than those",,
,,,excluded by Note 1 (b) or 1 (c) to this Chapter:,,
4103.20.00,00A,No.,Of reptiles,Free,Free
