Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
47.01,,,,,
4701.00.00,,,Mechanical wood pulp,Free,Free
,01D,tne,Softwood,,
,05G,tne,Hardwood,,
47.02,,,,,
4702.00.00,,,"Chemical wood pulp, dissolving grades",Free,Free
,01B,tne,Softwood,,
,05E,tne,Hardwood,,
47.03,,,"Chemical wood pulp, soda or sulphate, other than dissolving grades:",,
,,, Unbleached:,,
4703.11.00,00L,tne,  Coniferous,Free,Free
4703.19.00,,,  Non-coniferous,Free,Free
,01E,tne,Softwood,,
,05H,tne,Hardwood,,
,,, Semi-bleached or bleached:,,
4703.21.00,,,  Coniferous,Free,Free
,01B,tne,Semi-bleached,,
,09H,tne,Bleached,,
4703.29.00,,,  Non-coniferous,Free,Free
,01J,tne,Softwood,,
,05A,tne,Hardwood,,
47.04,,,"Chemical wood pulp, sulphite, other than dissolving grades:",,
,,, Unbleached:,,
4704.11.00,00J,tne,  Coniferous,Free,Free
4704.19.00,,,  Non-coniferous,Free,Free
,01C,tne,Softwood,,
,05F,tne,Hardwood,,
,,, Semi-bleached or bleached:,,
4704.21.00,,,  Coniferous,Free,Free
,01L,tne,Semi-bleached,,
,09F,tne,Bleached,,
4704.29.00,,,  Non-coniferous,Free,Free
,01G,tne,Softwood,,
,05K,tne,Hardwood,,
47.05,,,,,
4705.00.00,,,Wood pulp obtained by a combination of mechanical and chemical,,
,,,pulping processes,Free,Free
,01G,tne,Softwood,,
,05K,tne,Hardwood,,
47.06,,,Pulps of fibres derived from recovered (waste and scrap) paper or,,
,,,paperboard or of other fibrous cellulosic material:,,
4706.10.00,00L,tne, Cotton linters pulp,Free,Free
4706.20.00,,, Pulps of fibres derived from recovered (waste and scrap) paper or,,
,,,paperboard,Free,Free
,01B,tne,Mechanical,,
,05E,tne,Chemical,,
,09H,tne,Semi-chemical,,
4706.30.00,,," Other, of bamboo",Free,Free
,10E,tne,Mechanical,,
,15F,tne,Chemical,,
,19J,tne,Semi-chemical,,
,,, Other:,,
4706.91.00,10A,tne,  Mechanical,Free,Free
4706.92.00,10F,tne,  Chemical,Free,Free
4706.93.00,10L,tne,  Obtained by a combination of mechanical and chemical processes,Free,Free
47.07,,,Recovered (waste and scrap) paper or paperboard:,,
4707.10.00,00J,tne, Unbleached kraft paper or paperboard or corrugated paper or paperboard,Free,Free
4707.20.00,00B,tne," Other paper or paperboard made mainly of bleached chemical pulp, not",,
,,,coloured in the mass,Free,Free
4707.30.00,00F,tne," Paper or paperboard made mainly of mechanical pulp (for example,",,
,,,"newspapers, journals and similar printed matter)",Free,Free
4707.90.00,00H,tne," Other, including unsorted waste and scrap",Free,Free
48.01,,,"Newsprint, in rolls or sheets:",,
4801.00.11,,, Newsprint made of fibres obtained essentially by a chemi-mechanical,,
,,,"process or of a weight, per m2, of more than 57 g but not more than 65 g",Free,Free
,10A,tne,In rolls,,
,,,In sheets,,
,31D,kg,"Of an area less than 1,935 cm2",,
,39K,kg,Other,,
4801.00.90,,, Other,Free,Free
,10J,tne,In rolls,,
,29K,kg,In sheets,,
48.02,,,"Uncoated paper and paperboard, of a kind used for writing, printing",,
,,,"or other graphic purposes, and non perforated punchcards and",,
,,,"punch tape paper, in rolls or rectangular (including square) sheets, of",,
,,,"any size, other than paper of heading 48.01 or 48.03; handmade",,
,,,paper and paperboard:,,
4802.1,,, Handmade paper and paperboard:,,
4802.10.11,00F,kg,  In any size or shape as made directly and having all its edges deckled,Free,Free
4802.10.15,00A,kg,"  In strips or rolls of a width exceeding 15 cm, or in rectangular",,
,,,(including square) sheets with one side exceeding 36 cm and the other,,
,,,side exceeding 15 cm in the unfolded state,Free,Free
4802.10.19,00G,kg,  Other,Free,Free
4802.20.00,00H,kg," Paper and paperboard of a kind used as a base for photosensitive,",,
,,,heatsensitive or electrosensitive paper or paperboard,Free,Free
4802.40.00,00E,kg, Wallpaper base,Free,Free
,,," Other paper and paperboard, not containing fibres obtained by a",,
,,,mechanical or chemimechanical process or of which not more than,,
,,,10% by weight of the total fibre content consists of such fibres:,,
4802.54,,,  Weighing less than 40 g/m2:,,
,,,Printing and writing paper and paperboard:,,
4802.54.11,,," In strips or rolls of a width exceeding 15 cm, or in rectangular",,
,,,(including square) sheets with one side exceeding 36 cm and,,
,,,the other side exceeding 15 cm in the unfolded state,Free,Free
,10F,kg,In rolls,,
,17C,kg,In sheets,,
4802.54.19,10G,kg, Other printing and writing paper,Free,Free
,,,Kraft paper and paperboard:,,
4802.54.21,00D,kg," In strips or rolls of a width exceeding 15 cm, or in rectangular",,
,,,(including square) sheets with one side exceeding 36 cm and the,,
,,,other side exceeding 15 cm in the unfolded state,Free,Free
4802.54.29,00E,kg, Other,Free,Free
,,,Other:,,
4802.54.31,10G,kg," In strips or rolls of a width exceeding 15 cm, or in rectangular",,
,,,(including square) sheets with one side exceeding 36 cm and the,,
,,,other side exceeding 15 cm in the unfolded state,Free,Free
4802.54.39,10H,kg, Other,Free,Free
4802.55,,,"  Weighing 40 g/m2 or more but not more than 150 g/m2, in rolls:",,
,,,Of a width exceeding 15 cm:,,
4802.55.11,,, Printing and writing paper and paperboard,Free,Free
,11J,kg,White bank,,
,13E,kg,Tinted bank,,
,15A,kg,White bond,,
,19D,kg,Tinted bond,,
,21F,kg,Duplicator,,
,23B,kg,Drawing cartridge,,
,29A,kg,Offset printing,,
,31C,kg,White plain copier paper,,
,39J,kg,Tinted plain copier paper,,
,41L,kg,Envelope papers,,
,43G,kg,Cheque papers,,
,45C,kg,". . White or cream, laid or wove writing papers not specified above",,
,47K,kg,Other,,
,,,"Uncoated paper and paperboard, of a kind used, etc.—continued",,
,,," Other paper and paperboard, not containing fibres, etc.—continued",,
,,,"  Weighing 40 g/m2 or more but not more than, etc.—continued",,
,,,Of a width exceeding 15 cm—continued,,
,,, Other:,,
4802.55.14,,,  Kraft paper and paperboard,Free,Free
,11H,kg,"Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,19C,kg,Other,,
4802.55.17,,,  Other,Free,Free
,11G,kg,"Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,17F,kg,Other,,
4802.55.19,10A,kg,Other,Free,Free
4802.56,,,"  Weighing 40 g/m2 or more but not more than 150 g/m2, in sheets with",,
,,,one side not exceeding 435 mm and the other side not exceeding,,
,,,297 mm in the unfolded state:,,
4802.56.11,,,Printing and writing paper and paperboard,Free,Free
,11C,kg,Bank papers,,
,13K,kg,White bond,,
,19J,kg,Tinted bond,,
,21L,kg,Duplicator,,
,23G,kg,Drawing cartridge,,
,25C,kg,Offset printing,,
,27K,kg,White plain copier paper,,
,29F,kg,Tinted plain copier paper,,
,31H,kg,". White or cream, laid or wove writing papers not specified above",,
,37G,kg,Other,,
4802.56.13,,,"Printed, embossed or perforated",Free,Free
,11F,kg,Continuous computer listing paper,,
,17E,kg,Other,,
4802.56.21,,,Kraft paper and paperboard,Free,Free
,11J,kg,". Folder manilla, file manilla, tag manilla, document manilla, time",,
,,,"card manilla, pattern manilla and the like",,
,19D,kg,Other,,
4802.56.25,00J,kg,Autoclave indicator paper,Free,Free
4802.56.29,,,Other,Free,Free
,11K,kg,". Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,17J,kg,Other,,
,,,"Uncoated paper and paperboard, of a kind used, etc.—continued",,
,,," Other paper and paperboard, not containing fibres, etc.—continued",,
4802.57,,,"  Other, weighing 40 g/m2 or more but not more than 150 g/m2:",,
,,,In strips or rolls of a width exceeding 15 cm or in rectangular,,
,,,(including square) sheets with one side exceeding 36 cm and the,,
,,,other side exceeding 15 cm in the unfolded state:,,
4802.57.11,,, Printing and writing paper and paperboard,Free,Free
,,,In strips or rolls:,,
,11H,kg,White bank,,
,13D,kg,Tinted bank,,
,15L,kg,White bond,,
,19C,kg,Tinted bond,,
,21E,kg,Duplicator,,
,23A,kg,Drawing cartridge,,
,25H,kg,Offset printing,,
,27D,kg,White plain copier paper,,
,29L,kg,Tinted plain copier paper,,
,31B,kg,Envelope papers,,
,33J,kg,Cheque papers,,
,37A,kg,"White or cream, laid or wove writing papers not specified above",,
,38K,kg,Other,,
,,,In sheets:,,
,61D,kg,White bank,,
,63L,kg,Tinted bank,,
,65G,kg,White bond,,
,67C,kg,Tinted bond,,
,69K,kg,Duplicator,,
,71A,kg,Drawing cartridge,,
,73H,kg,Offset printing,,
,75D,kg,White plain copier paper,,
,77L,kg,Tinted plain copier paper,,
,79G,kg,Envelope papers,,
,81J,kg,Cheque papers,,
,83E,kg,"White or cream, laid or wove writing papers not specified above",,
,85A,kg,Other,,
4802.57.13,00E,kg, Other,Free,Free
,,,Other:,,
4802.57.15,,, Kraft paper and paperboard,Free,Free
,11C,kg,". . Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,19J,kg,Other,,
,,, Multiply paper and paperboard:,,
4802.57.19,,,  Linerboard,Free,Free
,,,Each layer bleached:,,
,11J,kg,In rolls,,
,19D,kg,In sheets,,
,,,With only one layer bleached:,,
,21F,kg,In rolls,,
,29A,kg,In sheets,,
,,,"Having 3 or more layers, of which only the two outer layers",,
,,,are bleached:,,
,31C,kg,In rolls,,
,39J,kg,In sheets,,
,,,Other:,,
,41L,kg,In rolls,,
,49F,kg,In sheets,,
4802.57.20,00A,kg,  Other,Free,Free
4802.57.21,00H,kg," Autoclave indicator paper, other than tape",Free,Free
4802.57.29,,, Other,Free,Free
,11D,kg,". . Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,17C,kg,Other,,
,,,"Uncoated paper and paperboard, of a kind used, etc.—continued",,
,,," Other paper and paperboard, not containing fibres, etc.—continued",,
4802.58,,,  Weighing more than 150 g/m2:,,
,,,In strips or rolls of a width exceeding 15 cm or in rectangular,,
,,,(including square) sheets with one side exceeding 36 cm and the,,
,,,other side exceeding 15 cm in the unfolded state:,,
4802.58.11,,, Printing and writing paper and paperboard,Free,Free
,,,In rolls:,,
,11B,kg,Offset printing,,
,17A,kg,Other,,
,,,In sheets:,,
,21K,kg,Offset printing,,
,27J,kg,Other,,
,,,Other:,,
4802.58.15,,, Kraft paper and paperboard,Free,Free
