Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
50.01,,,,,
5001.00.00,00G,kg,Silk-worm cocoons suitable for reeling,Free,Free
50.02,,,,,
5002.00.00,00E,kg,Raw silk (not thrown),Free,Free
50.03,,,,,
5003.00.00,,,"Silk waste (including cocoons unsuitable for reeling, yarn waste and",,
,,,garnetted stock),Free,Free
,10L,kg,Not carded or combed,,
,19D,kg,Other,,
50.04,,,,,
5004.00.00,00A,kg,Silk yarn (other than yarn spun from silk waste) not put up for retail,,
,,,sale,Free,Free
50.05,,,,,
5005.00.00,00K,kg,"Yarn spun from silk waste, not put up for retail sale",Free,Free
50.06,,,,,
5006.00.00,00H,kg,"Silk yarn and yarn spun from silk waste, put up for retail sale;",,
,,,silk-worm gut,Free,Free
50.07,,,Woven fabrics of silk or of silk waste:,,
5007.10.00,00K,m2,Fabrics of noil silk,Free,Free
5007.20.00,00C,m2,"Other fabrics, containing 85 % or more by weight of silk or of silk waste",,
,,,other than noil silk,Free,Free
5007.90.00,00J,m2,Other fabrics,Free,Free
51.01,,,"Wool, not carded or combed:",,
,,,"Greasy, including fleece-washed wool:",,
5101.11.00,,,Shorn wool,Free,Free
,02H,kg,less than 24.5 microns in fibre diameter,,
,04D,kg,24.5 to 31.4 microns in fibre diameter,,
,06L,kg,"exceeding 31.4, but not exceeding 35.4 microns in fibre diameter",,
,08G,kg,exceeding 35.4 microns in fibre diameter,,
5101.19.00,,,Other,Free,Free
,01F,kg,"Pie, Class I",,
,09A,kg,"Pie, Class II",,
,11C,kg,Slipe master,,
,19J,kg,"Slipe, first quality",,
,29F,kg,"Slipe, second quality",,
,,,"Degreased, not carbonised:",,
5101.21.00,,,Shorn wool,Free,Free
,02A,kg,less than 24.5 microns in fibre diameter,,
,04H,kg,24.5 to 31.4 microns in fibre diameter,,
,06D,kg,"exceeding 31.4, but not exceeding 35.4 microns in fibre diameter",,
,08L,kg,exceeding 35.4 microns in fibre diameter,,
5101.29.00,,,Other,Free,Free
,02H,kg,less than 24.5 microns in fibre diameter,,
,04D,kg,24.5 to 31.4 microns in fibre diameter,,
,06L,kg,"exceeding 31.4, but not exceeding 35.4 microns in fibre diameter",,
,08G,kg,exceeding 35.4 microns in fibre diameter,,
5101.30.00,,,Carbonised,Free,Free
,02L,kg,less than 24.5 microns in fibre diameter,,
,04G,kg,24.5 to 31.4 microns in fibre diameter,,
,06C,kg,exceeding 31.4 but not exceeding 35.4 microns in fibre diameter,,
,08K,kg,exceeding 35.4 microns in fibre diameter,,
51.02,,,"Fine or coarse animal hair, not carded or combed:",,
,,,Fine animal hair:,,
5102.11.00,00K,kg,Of Kashmir (cashmere) goats,Free,Free
5102.19.00,,,Other,Free,Free
,11A,kg,Cashgora,,
,15D,kg,Mohair,,
,,,Angora:,,
,21J,kg,Goat,,
,25A,kg,Rabbit,,
,39A,kg,Other,,
5102.20.00,00J,kg,Coarse animal hair,Free,Free
51.03,,,"Waste of wool or of fine or coarse animal hair, including yarn waste",,
,,,but excluding garnetted stock:,,
5103.10.00,00C,kg,Noils of wool or of fine animal hair,Free,Free
5103.20.00,00G,kg,Other waste of wool or of fine animal hair,Free,Free
5103.30.00,00L,kg,Waste of coarse animal hair,Free,Free
51.04,,,,,
5104.00.00,,,Garnetted stock of wool or of fine or coarse animal hair,Free,Free
,01F,kg,Wool (not including wool rags),,
,09A,kg,Other,,
51.05,,,"Wool and fine or coarse animal hair, carded or combed (including",,
,,,combed wool in fragments):,,
5105.10.00,00K,kg,Carded wool,Free,Free
,,,Wool tops and other combed wool:,,
5105.21.00,00H,kg,Combed wool in fragments,Free,Free
5105.29.00,00D,kg,Other,Free,Free
,,,"Fine animal hair, carded or combed:",,
5105.31.00,00A,kg,Of Kashmir (cashmere) goats,Free,Free
5105.39.00,00H,kg,Other,Free,Free
5105.40.00,00L,kg,"Coarse animal hair, carded or combed",Free,Free
51.06,,,"Yarn of carded wool, not put up for retail sale:",,
5106.1,,,Containing 85% or more by weight of wool:,,
5106.10.01,,,For use in the manufacture of carpets,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,01B,kg,Dyed,,
,09H,kg,Other,,
5106.10.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,01C,kg,Dyed,,
,09J,kg,Other,,
5106.2,,,Containing less than 85% by weight of wool:,,
5106.20.01,,,For use in the manufacture of carpets containing not less than 70%,,
,,,by weight of wool,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,01F,kg,Dyed,,
,09A,kg,Other,,
5106.20.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,01G,kg,Dyed,,
,09B,kg,Other,,
51.07,,,"Yarn of combed wool, not put up for retail sale:",,
5107.10.00,,,Containing 85% or more by weight of wool,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 5
,,,,,1/2025 5
,01D,kg,Dyed,,
,09K,kg,Other,,
5107.20.00,,,Containing less than 85% by weight of wool,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,01H,kg,Dyed,,
,09C,kg,Other,,
51.08,,,"Yarn of fine animal hair (carded or combed), not put up for retail sale:",,
5108.10.00,,,Carded,Free,Free
,01B,kg,Dyed,,
,09H,kg,Other,,
5108.20.00,,,Combed,Free,Free
,01F,kg,Dyed,,
,09A,kg,Other,,
