Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
64.01,,,Waterproof footwear with outer soles and uppers of rubber or of,,
,,,"plastics, the uppers of which are neither fixed to the sole nor",,
,,,"assembled by stitching, riveting, nailing, screwing, plugging or similar",,
,,,processes:,,
6401.1,,, Footwear incorporating a protective metal toe-cap:,,
,,,  Gumboots:,,
6401.10.02,,,Rubber,Free,Free
,,,Natural rubber:,,
,01B,pr,Exceeding size 11ÅÑ2 but not exceeding size 4,,
,09H,pr,Other sizes,,
,,,Other:,,
,11K,pr,Exceeding size 11ÅÑ2 but not exceeding size 4,,
,19E,pr,Other sizes,,
,,,Other:,,
6401.10.04,00G,pr, Childrens sizes 0 to 91ÅÑ2 inclusive,Free,Free
6401.10.06,,, Childrens size 10 to adults size 4,10,Free
,,,,,*See Below
,,,,,RCEP 8
,,,,,1/2025 7.3
,01H,pr,Not exceeding size 11ÅÑ2,,
,09C,pr,Other sizes,,
6401.10.08,00B,pr, Other sizes,10,Free
,,,,,*See Below
,,,,,RCEP 7
,,,,,1/2025 6
,,,  Other footwear:,,
6401.10.11,,,Not exceeding adults size 4,10,Free
,,,,,*See Below
,,,,,RCEP 8
,,,,,1/2025 7.3
,,,Not exceeding size 11ÅÑ2:,,
,01A,pr,Mens and boys,,
,09G,pr,Womens and girls,,
,,,Other sizes:,,
,11J,pr,Mens and boys,,
,19D,pr,Womens and girls,,
6401.10.19,,,Other sizes,10,Free
,,,,,*See Below
,,,,,RCEP 8
,,,,,1/2025 7.3
,01B,pr,Mens and boys,,
,09H,pr,Womens and girls,,
,,, Other footwear:,,
6401.92,,,  Covering the ankle but not covering the knee:,,
,,,Gumboots:,,
6401.92.02,,, Rubber,Free,Free
,,,Natural rubber:,,
,01L,pr,Childrens sizes 0 to 91ÅÑ2 inclusive,,
,11H,pr,Exceeding childrens size 91ÅÑ2 but not exceeding size 11ÅÑ2,,
,21E,pr,Exceeding size 11ÅÑ2 but not exceeding size 4,,
,29L,pr,Other sizes,,
,,, Other:,,
,31B,pr,Childrens sizes 0 to 91ÅÑ2 inclusive,,
,41K,pr,Exceeding childrens size 91ÅÑ2 but not exceeding size 11ÅÑ2,,
,51G,pr,Exceeding size 11ÅÑ2 but not exceeding size 4,,
,59B,pr,Other sizes,,
,,, Other:,,
6401.92.04,00E,pr,  Childrens sizes 0 to 91ÅÑ2 inclusive,Free,Free
6401.92.06,,,  Childrens size 10 to adults size 4,10,Free
,,,,,*See Below
,,,,,RCEP 7
,,,,,1/2025 6
,01F,pr,Not exceeding size 11ÅÑ2,,
,09A,pr,Other sizes,,
6401.92.09,00G,pr,  Other sizes,10,Free
,,,,,*See Below
,,,,,RCEP 8
,,,,,1/2025 7.3
,,,"Waterproof footwear with outer soles and uppers, etc.continued",,
,,, Other footwearcontinued,,
,,,  Covering the ankle but not covering the kneecontinued,,
,,,Other:,,
6401.92.11,00A,pr, Childrens sizes 0 to 91ÅÑ2 inclusive,Free,Free
6401.92.21,,, Childrens size 10 to adults size 4,10,Free
,,,,,*See Below
,,,,,RCEP 8
,,,,,1/2025 7.3
,01E,pr,Not exceeding size 11ÅÑ2,,
,,,Exceeding size 11ÅÑ2:,,
,11B,pr,Mens and boys,,
,19H,pr,Womens and girls,,
6401.92.29,,, Other sizes,10,Free
,,,,,*See Below
,,,,,RCEP 8
,,,,,1/2025 7.3
,01F,pr,Mens and boys,,
,09A,pr,Womens and girls,,
6401.99,,,  Other:,,
6401.99.01,,,Childrens sizes 0 to 91ÅÑ2 inclusive,Free,Free
,10E,pr,Covering the knee,,
,19J,pr,Other,,
6401.99.11,,,Childrens size 10 to adults size 4,10,Free
,,,,,*See Below
,,,,,RCEP 7
,,,,,1/2025 6
,,,Covering the knee:,,
,10L,pr,Not exceeding size 11ÅÑ2,,
,,,Exceeding size 11ÅÑ2:,,
,13E,pr,Mens and boys,,
,17H,pr,Womens and girls,,
,,,Other:,,
