Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
68.01,,,,,
6801.00.00,00C,.,"Setts, curbstones and flagstones, of natural stone (except slate)",5,Free
,,,,,*See Below
,,,,,CA Free
68.02,,,Worked monumental or building stone (except slate) and articles,,
,,,"thereof, other than goods of heading 68.01; mosaic cubes and the like,",,
,,,"of natural stone (including slate), whether or not on a backing;",,
,,,"artificially coloured granules, chippings and powder, of natural stone",,
,,,(including slate):,,
6802.10.00,00E,.,"Tiles, cubes and similar articles, whether or not rectangular (including",,
,,,"square), the largest face of which is capable of being enclosed in a square",,
,,,"the side of which is less than 7 cm; artificially coloured granules,",,
,,,chippings and powder,5,Free
,,,,,*See Below
,,,,,CA Free
,,,"Other monumental or building stone and articles thereof, simply cut or",,
,,,"sawn, with a flat or even surface:",,
6802.21.00,00C,.,"Marble, travertine and alabaster",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
6802.23.00,00B,.,Granite,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
6802.29.00,,,Other stone,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10G,.,Other calcareous stone,,
,19L,.,Other,,
,,,Other:,,
6802.91,,,"Marble, travertine and alabaster:",,
6802.91.01,00E,.,Handles for cutlery,Free,Free
6802.91.09,00F,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
6802.92,,,Other calcareous stone:,,
6802.92.01,00K,.,Handles for cutlery,Free,Free
6802.92.09,00L,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
6802.93,,,Granite:,,
6802.93.01,00D,.,Handles for cutlery,Free,Free
6802.93.09,00E,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
6802.99,,,Other stone:,,
6802.99.01,00A,.,Handles for cutlery,Free,Free
6802.99.09,00B,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
68.03,,,,,
6803.00.00,,,Worked slate and articles of slate or of agglomerated slate,Free,Free
,01H,.,Roofing slates,,
,11E,.,Billiard table slates,,
,19L,.,Other,,
68.04,,,"Millstones, grindstones, grinding wheels and the like, without",,
,,,"frameworks, for grinding, sharpening, polishing, trueing or cutting,",,
,,,"hand sharpening or polishing stones, and parts thereof, of natural",,
,,,"stone, of agglomerated natural or artificial abrasives, or of ceramics,",,
,,,with or without parts of other materials:,,
6804.10.00,00A,.,"Millstones and grindstones for milling, grinding or pulping",Free,Free
,,,"Other millstones, grindstones, grinding wheels and the like:",,
6804.21.00,,,Of agglomerated synthetic or natural diamond,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,01H,kg,Grinding wheels,,
,,,Other:,,
,11E,kg,Diamond segmental,,
,19L,kg,Other,,
6804.22.00,,,Of other agglomerated abrasives or of ceramics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,Grinding wheels,,
,05E,kg,"Phenolic resin bonded, reinforced",,
,19E,kg,Other,,
,29B,kg,Other,,
6804.23.00,,,Of natural stone,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,01G,kg,Grinding wheels,,
,09B,kg,Other,,
6804.30.00,00J,.,Hand sharpening or polishing stones,Free,Free
68.05,,,"Natural or artificial abrasive powder or grain, on a base of textile",,
,,,"material, of paper, of paperboard or of other materials, whether or",,
,,,not cut to shape or sewn or otherwise made up:,,
6805.1,,,On a base of woven textile fabric only:,,
6805.10.01,00F,.,"Nail files, abrasive coated",Free,Free
,,,Other:,,
