Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,I.- NATURAL OR CULTURED PEARLS AND PRECIOUS OR,,
,,,SEMI-PRECIOUS STONES,,
71.01,,,"Pearls, natural or cultured, whether or not worked or graded but not",,
,,,"strung, mounted or set; pearls, natural or cultured, temporarily",,
,,,strung for convenience of transport:,,
7101.1,,,Natural pearls:,,
7101.10.10,00C,.,Graded pearls temporarily strung for the convenience of transport,5,Free
,,,,,*See Below
,,,,,CA 2
7101.10.90,00G,.,Other,Free,Free
,,,Cultured pearls:,,
7101.21.00,00F,.,Unworked,Free,Free
7101.22,,,Worked:,,
7101.22.10,00F,.,Graded pearls temporarily strung for the convenience of transport,5,Free
,,,,,*See Below
,,,,,CA 2
,,,,,RCEP 3.5
,,,,,1/2025 3
7101.22.90,00K,.,Other,Free,Free
71.02,,,"Diamonds, whether or not worked, but not mounted or set:",,
7102.10.00,00F,.,Unsorted,Free,Free
,,,Industrial:,,
7102.21.00,00D,.,"Unworked or simply sawn, cleaved or bruted",Free,Free
7102.29.00,00L,.,Other,Free,Free
,,,Non-industrial:,,
7102.31.00,00H,.,"Unworked or simply sawn, cleaved or bruted",Free,Free
7102.39.00,00D,.,Other,Free,Free
71.03,,,"Precious stones (other than diamonds) and semi-precious stones,",,
,,,"whether or not worked or graded but not strung, mounted or set;",,
,,,ungraded precious stones (other than diamonds) and semi-precious,,
,,,"stones, temporarily strung for convenience of transport:",,
7103.10.00,,,Unworked or simply sawn or roughly shaped,Free,Free
,01B,.,"Greenstone, amazonite, bowenite, chloromelanite, jade and nephrite",,
,09H,.,Other,,
,,,Otherwise worked:,,
7103.91.00,00H,.,"Rubies, sapphires and emeralds",Free,Free
7103.99,,,Other:,,
7103.99.01,00L,.,"Greenstone, amazonite, bowenite, chloromelanite, jade and nephrite",5,Free
,,,,,*See Below
,,,,,RCEP 5
,,,,,1/2025 5
7103.99.09,00A,.,Other,Free,Free
71.04,,,"Synthetic or reconstructed precious or semi-precious stones, whether",,
,,,"or not worked or graded but not strung, mounted or set; ungraded",,
,,,"synthetic or reconstructed precious or semi-precious stones,",,
,,,temporarily strung for convenience of transport:,,
7104.10.00,00B,.,Piezo-electric quartz,Free,Free
,,,"Other, unworked or simply sawn or roughly shaped:",,
7104.21.00,00L,.,Diamonds,Free,Free
7104.29.00,00G,.,Other,Free,Free
,,,Other:,,
7104.91.00,00F,.,Diamonds,Free,Free
7104.99.00,00B,.,Other,Free,Free
71.05,,,Dust and powder of natural or synthetic precious or semi-precious,,
,,,stones:,,
7105.10.00,00L,.,Of diamonds,Free,Free
