Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
93.01,,,"Military weapons, other than revolvers, pistols and the arms of",,
,,,heading 93.07:,,
9301.10.00,,,"Artillery weapons (for example, guns, howitzers and mortars)",Free,Free
,10J,.,Self-propelled,,
,19B,.,Other,,
9301.20.00,00E,.,Rocket launchers; flame-throwers; grenade launchers; torpedo tubes and,,
,,,similar projectors,Free,Free
9301.90.00,00L,.,Other,Free,Free
93.02,,,,,
9302.00.00,00F,No.,"Revolvers and pistols, other than those of heading 93.03 or 93.04",Free,Free
93.03,,,Other firearms and similar devices which operate by the firing of an,,
,,,"explosive charge (for example, sporting shotguns and rifles,",,
,,,"muzzle-loading firearms, Very pistols and other devices designed to",,
,,,"project only signal flares, pistols and revolvers for firing blank",,
,,,"ammunition, captive-bolt humane killers, line-throwing guns):",,
9303.10.00,00H,No.,Muzzle-loading firearms,Free,Free
9303.20.00,00A,No.,"Other sporting, hunting or target-shooting shotguns, including",,
,,,combination shotgun-rifles,Free,Free
9303.30.00,,,"Other sporting, hunting or target-shooting rifles",Free,Free
,01C,No.,.22 calibre,,
,09J,No.,Other,,
9303.90.00,,,Other,Free,Free
,01E,No.,Captive-bolt humane killers,,
,09L,No.,Other,,
93.04,,,,,
9304,,,"Other arms (for example, spring, air or gas guns and pistols,",,
,,,"truncheons), excluding those of heading 93.07:",,
9304.00.02,00E,.,Underwater spearguns,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
9304.00.18,,,Other,Free,Free
,,,Air rifles:,,
,02E,No.,Soft air rifles,,
,04A,No.,Other,,
,,,Air pistols:,,
,06H,No.,Soft air pistols,,
,08D,No.,Other,,
,09B,.,Other,,
93.05,,,Parts and accessories of articles of headings 93.01 to 93.04:,,
9305.10.00,00D,.,Of revolvers or pistols,Free,Free
9305.20.00,,,Of shotguns or rifles of heading 93.03,Free,Free
,10E,.,Shotgun barrels,,
,29F,.,Other,,
,,,Other:,,
9305.91.00,00H,.,Of military weapons of heading 93.01,Free,Free
9305.99.00,,,Other,Free,Free
,11K,.,Of the arms of items 9304.00.02 and 9304.00.18,,
