Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,I- PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR,,
,,,POWDER FORM,,
72.01,,,"Pig iron and spiegeleisen in pigs, blocks or other primary forms:",,
7201.10.00,00D,kg,Non-alloy pig iron containing by weight 0.5 % or less of phosphorus,Free,Free
7201.20.00,00H,kg,Non-alloy pig iron containing by weight more than 0.5 % of phosphorus,Free,Free
7201.50.00,,,Alloy pig iron; spiegeleisen:,Free,Free
,01G,kg,Alloy pig iron,,
,09B,kg,Spiegeleisen,,
72.02,,,Ferro-alloys:,,
,,,Ferro-manganese:,,
7202.11.00,00G,kg,Containing by weight more than 2 % of carbon,Free,Free
7202.19.00,00C,kg,Other,Free,Free
,,,Ferro-silicon:,,
7202.21.00,00L,kg,Containing by weight more than 55 % of silicon,Free,Free
7202.29.00,00G,kg,Other,Free,Free
7202.30.00,00K,kg,Ferro-silico-manganese,Free,Free
,,,Ferro-chromium:,,
7202.41.00,00H,kg,Containing by weight more than 4 % of carbon,Free,Free
7202.49.00,00D,kg,Other,Free,Free
7202.50.00,00G,kg,Ferro-silico-chromium,Free,Free
7202.60.00,00L,kg,Ferro-nickel,Free,Free
7202.70.00,00D,kg,Ferro-molybdenum,Free,Free
7202.80.00,00H,kg,Ferro-tungsten and ferro-silico-tungsten,Free,Free
,,,Other:,,
7202.91.00,00F,kg,Ferro-titanium and ferro-silico-titanium,Free,Free
7202.92.00,00L,kg,Ferro-vanadium,Free,Free
7202.93.00,00E,kg,Ferro-niobium,Free,Free
7202.99.00,00B,kg,Other,Free,Free
72.03,,,Ferrous products obtained by direct reduction of iron ore and other,,
,,,"spongy ferrous products, in lumps, pellets or similar forms; iron",,
,,,"having a minimum purity by weight of 99.94 %, in lumps, pellets or",,
,,,similar forms:,,
7203.10.00,00L,kg,Ferrous products obtained by direct reduction of iron ore,Free,Free
7203.90.00,00K,kg,Other,Free,Free
72.04,,,Ferrous waste and scrap; remelting scrap ingots of iron or steel:,,
7204.10.00,00J,tne,Waste and scrap of cast iron,Free,Free
,,,Waste and scrap of alloy steel:,,
7204.21.00,00G,tne,Of stainless steel,Free,Free
7204.29.00,00C,tne,Other,Free,Free
7204.30.00,00F,tne,Waste and scrap of tinned iron or steel,Free,Free
,,,Other waste and scrap:,,
7204.41.00,00D,tne,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings",,
,,,"and stampings, whether or not in bundles",Free,Free
7204.49.00,00L,tne,Other,Free,Free
7204.50.00,,,Remelting scrap ingots,Free,Free
,01A,kg,Ferro-alloy,,
,09G,kg,Other,,
72.05,,,"Granules and powders, of pig iron, spiegeleisen, iron or steel:",,
7205.10.00,00G,kg,Granules,Free,Free
,,,Powders:,,
7205.21.00,00E,kg,Of alloy steel,Free,Free
7205.29.00,00A,kg,Other,Free,Free
,,,II.- IRON AND NON-ALLOY STEEL,,
72.06,,,Iron and non-alloy steel in ingots or other primary forms (excluding,,
,,,iron of heading 72.03):,,
7206.10.00,00E,kg,Ingots,Free,Free
7206.90.00,00D,kg,Other,Free,Free
72.07,,,Semi-finished products of iron or non-alloy steel:,,
,,,Containing by weight less than 0.25 % of carbon:,,
7207.11.00,,,"Of rectangular (including square) cross-section, the width measuring",,
