Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
84.01,,,"Nuclear reactors; fuel elements (cartridges), non-irradiated, for",,
,,,nuclear reactors; machinery and apparatus for isotopic separation:,,
8401.10.00,00B,.,Nuclear reactors,Free,Free
8401.20.00,00F,.,"Machinery and apparatus for isotopic separation, and parts thereof",Free,Free
8401.30.00,00K,.,"Fuel elements (cartridges), non-irradiated",Free,Free
8401.40.00,00C,.,Parts of nuclear reactors,Free,Free
84.02,,,Steam or other vapour generating boilers (other than central heating,,
,,,hot water boilers capable also of producing low pressure steam);,,
,,,super-heated water boilers:,,
,,,Steam or other vapour generating boilers:,,
8402.11.00,00E,kg,Watertube boilers with a steam production exceeding 45 t per hour,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 5
,,,,,1/2025 5
8402.12.00,00K,kg,Watertube boilers with a steam production not exceeding 45 t per hour,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 4
,,,,,1/2025 3.7
8402.19.00,00A,kg,"Other vapour generating boilers, including hybrid boilers",5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
8402.20.00,00D,.,Super-heated water boilers,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
8402.90.00,00K,.,Parts,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 5
,,,,,1/2025 5
84.03,,,Central heating boilers other than those of heading 84.02:,,
8403.10.00,00J,kg,Boilers,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8403.90.00,00H,kg,Parts,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
84.04,,,Auxiliary plant for use with boilers of heading 84.02 or 84.03 (for,,
,,,"example, economisers, super-heaters, soot removers, gas recoverers);",,
,,,condensers for steam or other vapour power units:,,
8404.10.00,00G,kg,Auxiliary plant for use with boilers of heading 84.02 or 84.03,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 4
,,,,,1/2025 3.7
8404.20.00,00L,kg,Condensers for steam or other vapour power units,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 4
,,,,,1/2025 3.7
8404.90.00,00F,.,Parts,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 4
,,,,,1/2025 3.7
84.05,,,"Producer gas or water gas generators, with or without their purifiers;",,
,,,"acetylene gas generators and similar water process gas generators,",,
,,,with or without their purifiers:,,
8405.10.00,00E,.,"Producer gas or water gas generators, with or without their purifiers;",,
,,,"acetylene gas generators and similar water process gas generators, with",,
,,,or without their purifiers,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
8405.90.00,00D,.,Parts,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
84.06,,,Steam turbines and other vapour turbines:,,
8406.10.00,00C,kg,Turbines for marine propulsion,Free,Free
,,,Other turbines:,,
8406.81.00,00C,kg,Of an output exceeding 40 MW,Free,Free
8406.82.00,00H,kg,Of an output not exceeding 40 MW,Free,Free
8406.90.00,00B,.,Parts,Free,Free
84.07,,,Spark-ignition reciprocating or rotary internal combustion piston,,
,,,engines:,,
8407.10.00,00A,No.,Aircraft engines,Free,Free
,,,Marine propulsion engines:,,
8407.21.00,,,Outboard motors,Free,Free
,01H,No.,Exceeding 5.22 kW,,
,09C,No.,Other,,
8407.29.00,00F,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Reciprocating piston engines of a kind used for the propulsion of,,
,,,vehicles of Chapter 87:,,
8407.31,,,Of a cylinder capacity not exceeding 50 cc:,,
8407.31.01,,,Cycle and tractor engines,Free,Free
,01H,No.,For cycles,,
,09C,No.,For tractors,,
8407.31.09,00L,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8407.32,,,Of a cylinder capacity exceeding 50 cc but not exceeding 250 cc:,,
8407.32.01,,,Cycle and tractor engines,Free,Free
,01B,No.,For cycles,,
,09H,No.,For tractors,,
8407.32.09,00E,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8407.33,,,"Of a cylinder capacity exceeding 250 cc but not exceeding 1,000 cc:",,
8407.33.01,,,Cycle and tractor engines,Free,Free
,01G,No.,For cycles,,
,09B,No.,For tractors,,
8407.33.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,For propelling motor vehicles of Tariff headings 87.02 to 87.04:,,
,01H,No.,New engines,,
,,,Used engines:,,
,11E,No.,Reconditioned,,
