Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
86.01,,,Rail locomotives powered from an external source of electricity or by,,
,,,electric accumulators:,,
8601.10.00,00E,No., Powered from an external source of electricity,Free,Free
8601.20.00,00J,No., Powered by electric accumulators,Free,Free
86.02,,,Other rail locomotives; locomotive tenders:,,
8602.1,,, Diesel-electric locomotives:,,
8602.10.01,00K,No.,Of a weight not exceeding 46 tonnes,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8602.10.09,00L,No.,Other,Free,Free
8602.9,,, Other:,,
8602.90.01,00J,No.,Of a weight not exceeding 46 tonnes,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8602.90.09,00K,No.,Other,Free,Free
86.03,,,"Self-propelled railway or tramway coaches, vans and trucks, other",,
,,,than those of heading 86.04:,,
8603.10.00,00A,No., Powered from an external source of electricity,Free,Free
8603.90.00,00L,No., Other,Free,Free
86.04,,,,,
8604.00.00,00F,No.,"Railway or tramway maintenance or service vehicles, whether or not",,
,,,"self-propelled (for example, workshops, cranes, ballast tampers,",,
,,,"trackliners, testing coaches and track inspection vehicles)",Free,Free
86.05,,,,,
8605.00.00,00D,No.,"Railway or tramway passenger coaches, not self-propelled; luggage",,
,,,"vans, post office coaches and other special purpose railway or",,
,,,"tramway coaches, not self-propelled (excluding those of heading 86.04)",Free,Free
86.06,,,"Railway or tramway goods vans and wagons, not self-propelled:",,
8606.10.00,00F,No., Tank wagons and the like,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8606.30.00,00C,No.," Self-discharging vans and wagons, other than those of subheading",,
,,,8606.1,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,, Other:,,
8606.91.00,,,Covered and closed,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,10G,No.,"Insulated or refrigerated vans and wagons, other than those of",,
,,,subheading 8606.10,,
,19L,No.,Other,,
8606.92.00,00D,No.,"Open, with non-removable sides of a height exceeding 60 cm",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8606.99.00,00F,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
86.07,,,Parts of railway or tramway locomotives or rolling-stock:,,
,,," Bogies, bissel-bogies, axles and wheels, and parts thereof:",,
8607.11.00,00J,kg,Driving bogies and bissel-bogies,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,"Parts of railway or tramway locomotives or, etc.—continued",,
,,," Bogies, bissel-bogies, axles and wheels, and parts thereof—continued",,
8607.12.00,00C,kg,Other bogies and bissel-bogies,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
8607.19.00,00E,kg,"Other, including parts",5,Free
,,,,,*See Below
,,,,,CA Free
,,, Brakes and parts thereof:,,
8607.21.00,00B,kg, Air brakes and parts thereof,5,Free
,,,,,*See Below
,,,,,CA Free
8607.29.00,00J,kg,Other,5,Free
,,,,,*See Below
,,,,,CA Free
8607.30.00,00A,kg," Hooks and other coupling devices, buffers, and parts thereof",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,,, Other:,,
8607.91.00,00H,kg,Of locomotives,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8607.99.00,00D,kg,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
86.08,,,,,
8608,,,Railway or tramway track fixtures and fittings; mechanical (including,,
,,,"electro-mechanical) signalling, safety or traffic control equipment for",,
,,,"railways, tramways, roads, inland waterways, parking facilities, port",,
,,,installations or airfields; parts of the foregoing:,,
8608.00.01,00E,. .," Electro-mechanical signalling, safety and control equipment",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8608.00.09,00F,kg, Other,Free,Free
86.09,,,,,
8609,,,Containers (including containers for the transport of fluids) specially,,
,,,designed and equipped for carriage by one or more modes of,,
,,,transport:,,
8609.00.01,00C,. ., Under such security as Customs may require that the containers will be,,
,,,exported,Free,Free
8609.00.09,,, Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Refrigerated:,,
,,,Containing hydrofluorocarbons:,,
,10A,No.,". Containing 1,1,1,2-Tetrafluoroethane (HFC-134a)",,
,15B,No.,. Containing R-404A,,
,16L,No.,.Other,,
,17J,. .,Other,,
,19E,. .,Other,,
87.01,,,Tractors (other than tractors of heading 87.09):,,
8701.10.00,10J,No., Single axle tractors,Free,Free
,,, Road tractors for semi-trailers:,,
8701.21,,,With only compression-ignition internal combustion piston engine,,
,,,(diesel or semi-diesel):,,
8701.21.01,00F,No., Unassembled as may be determined by the Minister in accordance,,
,,,"with Section 14 of this Act, and under such condition as the Minister",,
,,,may prescribe,Free,Free
,,, Other:,,
8701.21.10,00E,No.,"G.v.w. not exceeding 10,500 kg",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8701.21.19,00B,No.,Other,Free,Free
8701.22,,,With both compression-ignition internal combustion piston engine,,
,,,(diesel or semi-diesel) and electric motor as motors for propulsion:,,
8701.22.01,00L,No., Unassembled as may be determined by the Minister in accordance,,
,,,"with Section 14 of this Act, and under such condition as the Minister",,
,,,may prescribe,Free,Free
,,, Other:,,
8701.22.10,00K,No.,"G.v.w. not exceeding 10,500 kg",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8701.22.19,00G,No.,Other,Free,Free
8701.23,,,With both spark-ignition internal combustion piston engine and electric,,
,,,motors as motors for propulsion:,,
8701.23.01,00E,No., Unassembled as may be determined by the Minister in accordance,,
,,,"with Section 14 of this Act, and under such condition as the Minister",,
,,,may prescribe,Free,Free
,,, Other:,,
8701.23.10,00D,No.,"G.v.w. not exceeding 10,500 kg",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8701.23.19,00A,No.,Other,Free,Free
8701.24,,,With only electric motor for propulsion:,,
8701.24.01,00K,No., Unassembled as may be determined by the Minister in accordance,,
,,,"with Section 14 of this Act, and under such condition as the Minister",,
,,,may prescribe,Free,Free
,,, Other:,,
8701.24.10,00J,No.,"G.v.w. not exceeding 10,500 kg",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8701.24.19,00F,No.,Other,Free,Free
8701.29,,,Other:,,
8701.29.01,00B,No., Unassembled as may be determined by the Minister in accordance,,
,,,"with Section 14 of this Act, and under such condition as the Minister",,
,,,may prescribe,Free,Free
,,, Other:,,
8701.29.10,00A,No.,"G.v.w. not exceeding 10,500 kg",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
8701.29.19,00J,No.,Other,Free,Free
8701.30.00,00J,No., Track-laying tractors,Free,Free
,,,Tractors (other than tractors of heading 87.09)—continued,,
,,," Other, of an engine power:",,
8701.91.00,,,Not exceeding 18 kW,Free,Free
,,,Wheeled:,,
,10B,No.,. Garden,,
,13G,No.,. Log skidders and log skidder bases,,
,15C,No.,. Other,,
,19F,No.,Other,,
