Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
90.01,,,Optical fibres and optical fibre bundles; optical fibre cables other than,,
,,,those of heading 85.44; sheets and plates of polarising material; lenses,,
,,,"(including contact lenses), prisms, mirrors and other optical elements,",,
,,,"of any material, unmounted, other than such elements of glass not",,
,,,optically worked:,,
9001.1,,,"Optical fibres, optical fibre bundles and cables:",,
9001.10.01,00J,kg,Optical fibre cables,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9001.10.09,00K,kg,Other,Free,Free
9001.20.00,00F,.,Sheets and plates of polarising material,Free,Free
9001.30.00,00K,.,Contact lenses,Free,Free
9001.40.00,00C,.,Spectacle lenses of glass,Free,Free
9001.50.00,00G,.,Spectacle lenses of other materials,Free,Free
9001.9,,,Other:,,
9001.90.07,00F,.,Photographic colour filters,Free,Free
9001.90.09,,,Other,Free,Free
,01G,.,Lenses and prisms (other than ophthalmic contact lenses and,,
,,,spectacle lenses),,
,09B,.,Polarising elements for spectacles,,
,19K,.,Other optical elements,,
90.02,,,"Lenses, prisms, mirrors and other optical elements, of any material,",,
,,,"mounted, being parts of or fittings for instruments or apparatus, other",,
,,,than such elements of glass not optically worked:,,
,,,Objective lenses:,,
9002.11.00,,,"For cameras, projectors or photographic enlargers or reducers",Free,Free
,01C,.,For photographic cameras for micro-filming or for photo-process,,
,,,engraving; for 35 mm cinematographic cameras; photographic,,
,,,enlargers and reducers,,
,11L,.,For projectors,,
,19F,.,Other,,
 9002.19.90,00L,.,Other,Free,Free
 9002.20.90,,,Filters,Free,Free
,10L,.,Photographic colour filters,,
,19D,.,Other,,
9002.90.90,00J,.,Other,Free,Free
90.03,,,"Frames and mountings for spectacles, goggles or the like, and parts",,
,,,thereof:,,
,,,Frames and mountings:,,
9003.11.00,00C,No.,Of plastics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9003.19.00,00K,No.,Of other materials,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9003.90.00,00H,No.,Parts,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
90.04,,,"Spectacles, goggles and the like, corrective, protective or other:",,
9004.10.00,01E,No.,Sunglasses,Free,Free
9004.9,,,Other:,,
9004.90.01,,,Goggles and the like,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC Free
,03G,No.,Swim goggles,,
,05C,No.,Ski goggles,,
,09F,No.,Other,,
,,,"Spectacles, goggles and the like, corrective, protective or other—continued",,
,,,Other—continued,,
9004.90.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,01A,No.,Frames for opthalmic spectacles fitted temporarily with imitation,,
,,,lenses,,
,09G,No.,Other,,
90.05,,,"Binoculars, monoculars, other optical telescopes, and mountings",,
,,,"therefor; other astronomical instruments and mountings therefor, but",,
,,,not including instruments for radio-astronomy:,,
9005.10.00,00E,.,Binoculars,Free,Free
9005.80.00,00L,.,Other instruments,Free,Free
9005.90.00,10A,.,Parts and accessories (including mountings),Free,Free
90.06,,,Photographic (other than cinematographic) cameras; photographic,,
,,,flashlight apparatus and flashbulbs other than discharge lamps of,,
,,,heading 85.39:,,
9006.30.00,00L,No.,"Cameras specially designed for underwater use, for aerial survey or for",,
,,,medical or surgical examination of internal organs; comparison cameras,,
,,,for forensic or criminological purposes,Free,Free
9006.40.00,00D,No.,Instant print cameras,Free,Free
,,,Other cameras:,,
9006.53.00,,,For roll film of a width of 35 mm,Free,Free
,20F,No.,"Cameras of a kind used for recording documents on microfilm,",,
,,,microfiches or other microforms,,
,30C,No.,Other,,
9006.59.00,,,Other,Free,Free
,30L,No.,"Cameras of a kind used for recording documents on microfilm,",,
,,,microfiches or other microforms,,
,40H,No.,Other,,
,,,Photographic flashlight apparatus and flashbulbs:,,
9006.61.00,,,Discharge lamp (“electronic”) flashlight apparatus,Free,Free
,01D,No.,Portable,,
,09K,No.,Non-portable,,
9006.69.00,,,Other,Free,Free
,10K,No.,"Flashbulbs, flashcubes and the like",,
,,,Other:,,
,15L,No.,Portable,,
,19C,No.,Non-portable,,
,,,Parts and accessories:,,
9006.91.00,,,For cameras,Free,Free
,12L,.,Of Tariff items 9006.53.00 and 9006.59.00,,
,19H,.,Other,,
9006.99.00,00C,.,Other,Free,Free
90.07,,,"Cinematographic cameras and projectors, whether or not",,
,,,incorporating sound recording or reproducing apparatus:,,
9007.10.00,,,Cameras,Free,Free
,10J,No.,For film of less than 16 mm width or for double-8 mm film,,
,,,Other:,,
,15K,No.,35 mm,,
,19B,No.,Other,,
9007.20.00,,,Projectors,Free,Free
,01C,No.,For film of less than 16 mm width,,
,09J,No.,Other,,
,,,Parts and accessories:,,
9007.91.00,,,For cameras,Free,Free
,10B,.,35 mm,,
,19F,.,Other,,
9007.92.00,00K,.,For projectors,Free,Free
90.08,,,"Image projectors, other than cinematographic; photographic",,
,,,(other than cinematographic) enlargers and reducers:,,
9008.50.00,,,"Projectors, enlargers and reducers",Free,Free
,10A,No.,Slide projectors,,
,15B,No.,"Microfilm, microfiche or other microform readers, whether or not",,
,,,capable of producing copies,,
,19E,No.,Other image projectors,,
,,,Photographic (other than cinematographic) enlargers and reducers:,,
,25K,.,For negatives of 6 cm x 7 cm or larger,,
,29B,.,Other,,
9008.90.00,,,Parts and accessories,Free,Free
,01G,No.,Of image projectors,,
,,,Of photographic enlargers and reducers:,,
,11D,.,For negatives of 6 cm x 7 cm or larger,,
,19K,.,Other,,
90.1,,,Apparatus and equipment for photographic (including,,
,,,"cinematographic) laboratories, not specified or included elsewhere in",,
,,,this Chapter; negatoscopes; projection screens:,,
9010.10.00,00A,.,Apparatus and equipment for automatically developing photographic,,
,,,(including cinematographic) film or paper in rolls or for automatically,,
,,,exposing developed film to rolls of photographic paper,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
,,,,,RCEP 4
,,,,,1/2025 3.7
9010.5,,,Other apparatus and equipment for photographic (including,,
,,,cinematographic) laboratories; negatoscopes:,,
9010.50.10,10J,.,Film measuring apparatus and footage counters,Free,Free
9010.50.80,00K,.,Other,Free,Free
 9010.60.90,00J,.,Projection screens,Free,Free
9010.9,,,Parts and accessories:,,
9010.90.01,10D,.,Of film measuring apparatus and footage counters,Free,Free
 9010.90.20,00A,.,Of projection screens,Free,Free
,,,Other:,,
9010.90.30,00G,.,Of the apparatus of subheading 9010.50,Free,Free
9010.90.90,00K,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
90.11,,,"Compound optical microscopes, including those for",,
,,,"photomicrography, cinephotomicrography or microprojection:",,
9011.10.00,10G,.,Stereoscopic microscopes,Free,Free
9011.20.00,10L,.,"Other microscopes, for photomicrography, cinephotomicrography or",,
,,,microprojection,Free,Free
9011.80.00,00E,.,Other microscopes,Free,Free
9011.90.00,10F,.,Parts and accessories,Free,Free
90.12,,,Microscopes other than optical microscopes; diffraction apparatus:,,
9012.10.00,10E,.,Microscopes other than optical microscopes; diffraction apparatus,Free,Free
9012.90.00,10D,.,Parts and accessories,Free,Free
90.13,,,"Lasers, other than laser diodes; other optical appliances and",,
,,,"instruments, not specified or included elsewhere in this Chapter:",,
9013.10.00,00F,.,Telescopic sights for fitting to arms; periscopes; telescopes designed to,,
,,,"form parts of machines, appliances, instruments or apparatus of this",,
,,,Chapter or Section XVI,Free,Free
9013.20.00,00K,.,"Lasers, other than laser diodes",Free,Free
9013.80.00,20F,.,"Other devices, appliances and instruments",Free,Free
9013.90.00,00E,.,Parts and accessories,Free,Free
90.14,,,Direction finding compasses; other navigational instruments and,,
,,,appliances:,,
9014.10.00,00D,.,Direction finding compasses,Free,Free
 9014.20.90,00G,.,Instruments and appliances for aeronautical or space navigation (other,,
,,,than compasses),Free,Free
 9014.80.90,00J,.,Other instruments and appliances,Free,Free
9014.90.00,00C,.,Parts and accessories,Free,Free
90.15,,,"Surveying (including photogrammetrical surveying), hydrographic,",,
,,,"oceanographic, hydrological, meteorological or geophysical",,
,,,"instruments and appliances, excluding compasses; rangefinders:",,
9015.10.00,00B,.,Rangefinders,Free,Free
9015.20.00,00F,.,Theodolites and tachymeters (tacheometers),Free,Free
9015.30.00,00K,.,Levels,Free,Free
9015.40.00,00C,.,Photogrammetrical surveying instruments and appliances,Free,Free
 9015.80.90,00G,.,Other instruments and appliances,Free,Free
9015.90.00,10J,.,Parts and accessories,Free,Free
90.16,,,,,
9016.00.00,00G,.,"Balances of a sensitivity of 5 cg or better, with or without weights",Free,Free
90.17,,,"Drawing, marking-out or mathematical calculating instruments",,
,,,"(for example, drafting machines, pantographs, protractors, drawing",,
,,,"sets, slide rules, disc calculators); instruments for measuring length,",,
,,,"for use in the hand (for example, measuring rods and tapes,",,
,,,"micrometers, callipers), not specified or included elsewhere in this",,
,,,Chapter:,,
9017.10.00,00J,.,"Drafting tables and machines, whether or not automatic",Free,Free
9017.2,,,"Other drawing, marking-out or mathematical calculating instruments:",,
9017.20.01,10F,.,"Mathematical calculating instruments, slide rules, disc calculators",,
,,,and the like,Free,Free
9017.20.19,,,Other,Free,Free
,10B,.,Rules,,
,19F,.,Other,,
9017.30.00,00F,.,"Micrometers, callipers and gauges",Free,Free
9017.8,,,Other instruments:,,
9017.80.11,00F,.,Rulers,Free,Free
9017.80.19,00G,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
9017.9,,,Parts and accessories:,,
9017.90.01,10A,.,"Mathematical calculating instruments, slide rules, disc calculators",,
,,,and the like,Free,Free
9017.90.09,10B,.,Other,Free,Free
90.18,,,"Instruments and appliances used in medical, surgical, dental or",,
,,,"veterinary sciences, including scintigraphic apparatus, other",,
,,,electro-medical apparatus and sight-testing instruments:,,
,,,Electro-diagnostic apparatus (including apparatus for functional,,
,,,exploratory examination or for checking physiological parameters):,,
9018.11.00,00A,.,Electro-cardiographs,Free,Free
9018.12.00,00F,.,Ultrasonic scanning apparatus,Free,Free
9018.13.00,00L,.,Magnetic resonance imaging apparatus,Free,Free
9018.14.00,00E,.,Scintigraphic apparatus,Free,Free
9018.19.00,00H,.,Other,Free,Free
9018.20.00,00L,.,Ultra-violet or infra-red ray apparatus,Free,Free
,,,"Syringes, needles, catheters, cannulae and the like:",,
9018.31,,,"Syringes, with or without needles:",,
9018.31.01,00E,No.,"Syringes, drenching",Free,Free
9018.31.09,00F,.,Other,Free,Free
9018.32.00,00C,.,Tubular metal needles and needles for sutures,Free,Free
9018.39.00,00E,.,Other,Free,Free
,,,"Instruments and appliances used in medical, surgical, etc.—continued",,
,,,"Other instruments and appliances, used in dental sciences:",,
9018.41.00,00B,.,"Dental drill engines, whether or not combined on a single base with",,
,,,other dental equipment,Free,Free
9018.49.00,00J,.,Other,Free,Free
9018.5,,,Other ophthalmic instruments and appliances:,,
9018.50.01,00H,.,Electro-medical apparatus,Free,Free
9018.50.09,00J,.,Other,Free,Free
9018.9,,,Other instruments and appliances:,,
9018.90.02,,,Electro-medical apparatus,Free,Free
,01G,.,Incubators for babies,,
,10F,.,Other,,
9018.90.19,10F,.,Other,Free,Free
90.19,,,Mechano-therapy appliances; massage apparatus; psychological,,
,,,"aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol",,
,,,"therapy, artificial respiration or other therapeutic respiration",,
,,,apparatus:,,
9019.1,,,Mechano-therapy appliances; massage apparatus; psychological,,
,,,aptitude-testing apparatus:,,
,,,Massage apparatus:,,
9019.10.01,00A,No.,Vibratory massage machines,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC 4
9019.10.09,00B,No.,Other,Free,Free
9019.10.11,00G,No.,Psychological aptitude-testing apparatus,Free,Free
9019.10.19,00H,No.,Other,Free,Free
9019.20.00,00J,.,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or",,
,,,other therapeutic respiration apparatus,Free,Free
90.2,,,,,
9020.00.00,00E,.,"Other breathing appliances and gas masks, excluding protective",,
,,,masks having neither mechanical parts nor replaceable filters,Free,Free
90.21,,,"Orthopaedic appliances, including crutches, surgical belts and trusses;",,
,,,splints and other fracture appliances; artificial parts of the body;,,
,,,"hearing aids and other appliances which are worn or carried, or",,
,,,"implanted in the body, to compensate for a defect or disability:",,
9021.1,,,Orthopaedic or fracture appliances:,,
,,,"Threaded articles, of stainless steel:",,
,,,Screws:,,
9021.10.01,00C,kg,Self-tapping screws,5,Free
,,,,,*See Below
