Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
94.01,,,"Seats (other than those of heading 94.02), whether or not convertible",,
,,,"into beds, and parts thereof:",,
9401.10.00,00H,No.,Seats of a kind used for aircraft,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
9401.20.00,10J,No.,Seats of a kind used for motor vehicles,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Swivel seats with variable height adjustment:,,
9401.31.00,,,Of wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10G,No.,Of Merbau (Kwila),,
,20D,No.,Other,,
9401.39.00,00F,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Seats other than garden seats or camping equipment, convertible into beds:",,
9401.41.00,,,Of wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10L,No.,Of Merbau (Kwila),,
,20H,No.,Other,,
9401.49.00,00K,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Seats of cane, osier, bamboo or similar materials:",,
9401.52.00,00A,No.,Of bamboo,5,Free
,,,,,*See Below
,,,,,CA 1
9401.53.00,00F,No.,Of rattan,5,Free
,,,,,*See Below
,,,,,CA 1
9401.59.00,00C,No.,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Other seats, with wooden frames:",,
9401.61.00,,,Upholstered,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,Of Merbau (Kwila):,,
,10H,No.,"Lounge suites, complete, assembled or unassembled",,
,15J,No.,Other,,
,,,Other:,,
,19A,No.,"Lounge suites, complete, assembled or unassembled",,
,29J,No.,Other,,
9401.69.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Of Merbau (Kwila):,,
,10D,No.,"Lounge suites, complete, assembled or unassembled",,
,15E,No.,Other,,
,,,Other:,,
,19H,No.,"Lounge suites, complete, assembled or unassembled",,
,29E,No.,Other,,
,,,"Seats (other than those of heading 94.02), whether, etc.continued",,
,,,"Other seats, with metal frames:",,
9401.71.00,00D,No.,Upholstered,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 4
,,,,,1/2025 3.7
9401.79.00,10H,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9401.8,,,Other seats:,,
9401.80.10,00J,No.,Motor vehicle safety seats suitable for use for the carriage of infants,,
,,,or children (child restraints),5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9401.80.90,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
