StatisticalCode,Unit,Goods,Rate#,ReferenceNumber,Tariffconcessionorders
,,"LIVE HORSES, ASSES, MULES AND HINNIES:",,0101,
,,Horses:,,0101.2,
21,No,Pure  bred breeding animals,Free,0101.21.00,
23,No,Other,Free,0101.29.00,
26,No,Asses,Free,0101.30.00,
27,No,Other,Free,0101.90.00,
,,LIVE BOVINE ANIMALS:,,0102,
,,Cattle:,,102.2,
1,No,Pure  bred breeding animals,Free,0102.21.00,
3,No,Other,Free,0102.29.00,
,,Buffalo:,,0102.3,
31,No,Pure  bred breeding animals,Free,0102.31.00,
33,No,Other,Free,0102.39.00,
35,No,Other,Free,0102.90.00,
,,LIVE SWINE:,,0103,
7,No,Pure  bred breeding animals,Free,0103.10.00,
,,Other:,,0103.9,
8,No,Weighing less than 50 kg,Free,0103.91.00,
9,No,Weighing 50 kg or more,Free,0103.92.00,
,,LIVE SHEEP AND GOATS:,,0104.1,
10,No,Sheep,Free,0104.10.00,
11,No,Goats,Free,0104.20.00,
,,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES Gallus domesticus, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS:",,0105,
,,Weighing not more than 185 g:,,0105.1,
12,No,Fowls of the species Gallus domesticus,Free,0105.11.00,
17,No,Turkeys,Free,0105.12.00,
13,No,Ducks,Free,0105.13.00,
16,No,Geese,Free,0105.14.00,
19,No,Guinea fowls,Free,0105.15.00,
,,Other:,,0105.9,
39,No,Fowls of the species Gallus domesticus,Free,0105.94.00,
15,No,Other,Free,0105.99.00,
,,OTHER LIVE ANIMALS:,,0106,
,,Mammals:,,0106.1,
40,No,Primates,Free,0106.11.00,
43,No,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Free,0106.12.00,
44,No,Camels and other camelids (Camelidae),Free,0106.13.00,
46,No,Rabbits and hares,Free,0106.14.00,
48,No,Other,Free,0106.19.00,
50,No,Reptiles (including snakes and turtles),Free,0106.20.00,
,,Birds:,,0106.3,
60,No,Birds of prey,Free,0106.31.00,
62,No,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",Free,0106.32.00,
1,No,Ostriches; emus (Dromaius novaehollandiae),Free,0106.33.00,
